player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Carson Wentz,10636,QB,WAS,6,2.61,2.43,3.38,4.68,266,32,75.4,130,135,4.7,1.94,2,2,1.4,68.1,92,30,6.1,139,52.3,6,44,,,,87.5,55.4,81.9,55.5,,,,,2,4,144,13.3,83.4,2.9,4,0,0,1,6,4,2.8,714,5.3,72.0,82,97,13.6,3.33,5,10,8.9,53.6,52,59,11.9,127,47.7,7,27,,,,63.4,70.6,81.9,66.8,,,76.5,,1,2,143,32.2,85.2,15.0,19,11,0,9,4,6,4.2,775,8.0
Kyler Murray,38334,QB,ARZ,5,2.48,2.34,3.97,5.33,229,1,82.8,134,137,4.5,1.71,3,2,1.4,75.9,104,15,6.3,138,60.3,7,44,,,,87.4,79.1,81.9,77.4,,,,,0,0,143,6.7,100.5,0.7,1,0,0,0,4,0,0.0,835,6.1,63.3,60,76,11.4,3.69,2,3,3.7,48.7,37,47,2.6,90,39.3,1,24,,,,33.9,49.8,80.6,45.9,,,73.7,,1,3,101,12.8,57.3,6.7,6,8,0,13,2,6,5.9,407,5.4
Josh Allen,46601,QB,BUF,5,2.63,2.49,3.2,3.94,226,4,86.5,104,113,4.0,1.79,6,3,2.6,75.2,85,15,5.6,115,50.9,5,43,,,,58.8,83.7,81.2,81.7,,,,,0,1,118,13.3,112.1,1.7,2,0,0,3,8,2,1.7,744,6.6,67.1,76,85,14.4,3.53,2,9,10.2,56.5,48,50,5.9,110,48.7,3,50,,,,85.8,84.3,4.5,72.6,,,92.4,,1,3,113,12.0,102.4,5.5,6,19,0,6,6,7,6.2,907,10.7
Joe Burrow,28022,QB,CIN,5,2.52,2.38,3.23,4.1,221,7,74.8,111,119,5.8,1.87,4,2,1.6,66.4,79,23,4.8,123,55.7,4,45,,,,36.6,67.7,81.6,66.9,,,,,1,2,131,17.4,94.7,3.3,4,0,0,3,6,3,2.3,786,6.6,72.3,65,72,10.0,3.38,2,3,3.9,62.5,45,41,4.3,97,43.9,2,25,,,,85.1,60.9,80.6,57.8,,,70.5,,2,3,103,34.1,81.4,14.4,14,11,0,3,3,6,5.8,530,7.4
Matt Ryan,4317,QB,IND,5,2.7,2.57,3.35,4.74,220,14,82.7,104,109,5.5,1.97,2,0,0.0,74.3,81,16,5.8,111,50.5,5,40,,,,58.5,71.3,81.1,70.2,,,,,1,3,116,12.5,90.3,1.8,2,0,0,2,3,4,3.4,749,6.9,68.5,73,85,9.0,3.44,2,1,1.1,55.3,47,57,6.0,109,49.5,3,31,,,,19.7,38.2,81.1,38.8,,,60.6,,1,4,115,33.3,67.3,17.4,19,5,0,9,2,8,7.0,630,7.4
Matthew Stafford,4924,QB,LA,5,2.61,2.5,3.39,4.87,217,26,77.9,95,96,3.6,1.86,1,2,2.1,74.0,71,12,4.1,97,44.7,3,32,,,,53.8,59.6,80.5,59.4,,,,,0,3,98,8.3,94.8,1.0,1,0,0,0,5,3,3.1,616,6.4,75.9,87,96,10.5,3.25,2,5,5.1,65.6,63,63,4.5,119,54.8,3,35,,,,34.1,58.1,81.3,57.2,,,65.8,,0,4,121,31.7,70.1,16.8,20,3,0,7,0,7,5.8,707,7.4
Tom Brady,698,QB,TB,5,2.21,2.19,3.04,,215,30,81.3,134,138,4.7,1.83,0,3,2.1,75.4,104,13,4.6,141,65.6,5,46,,,,65.4,66.7,82.0,65.9,,,,,1,1,148,23.1,102.4,2.1,3,0,0,3,6,2,1.4,861,6.2,62.5,64,69,14.2,2.96,1,6,8.1,53.6,37,25,7.5,73,34.0,3,26,,,,83.4,90.0,79.7,87.0,,,63.3,,0,0,80,16.0,84.8,5.5,4,0,0,4,1,1,1.3,549,8.0
Justin Herbert,28237,QB,LAC,5,2.78,2.67,4.98,5.12,210,27,77.0,87,89,5.1,2.01,1,1,1.1,70.8,63,20,6.0,89,42.4,4,33,,,,84.3,66.4,80.2,65.6,,,,,0,1,91,0.0,113.1,0.0,0,0,0,1,8,2,2.2,571,6.4,76.3,97,111,8.8,3.34,4,5,4.3,63.1,70,56,5.4,121,57.6,4,37,,,,60.9,73.5,81.4,72.2,,,62.9,,2,1,127,8.9,90.9,4.1,5,5,0,8,2,2,1.6,907,8.2
Patrick Mahomes,11765,QB,KC,5,2.67,2.53,3.03,5.23,210,16,81.1,111,113,4.7,1.78,0,1,0.9,73.5,83,17,7.8,113,53.8,7,45,,,,86.0,69.6,81.1,68.6,,,,,1,1,116,0.0,112.2,0.0,0,0,0,1,9,3,2.6,707,6.3,71.4,63,76,13.5,3.78,1,9,10.3,56.6,43,53,4.4,95,45.2,2,41,,,,85.3,91.7,80.8,90.0,,,78.3,,1,1,106,15.1,107.9,8.4,8,11,0,11,6,2,1.9,691,9.1
Kirk Cousins,7102,QB,MIN,5,2.65,2.61,2.85,5.03,207,18,76.8,82,85,4.5,1.99,1,2,2.2,67.1,57,19,9.5,87,42.0,6,31,,,,84.4,63.2,80.3,62.7,,,,,2,2,93,10.5,86.8,2.3,2,0,0,0,4,3,3.2,468,5.5,81.1,95,111,8.3,3.14,1,4,3.3,66.7,74,45,3.9,120,58.0,3,46,,,,62.4,79.4,81.6,76.7,,,70.7,,3,3,131,13.3,87.6,5.0,6,3,0,12,3,4,3.1,859,7.7
