"Player","Team","Pos","Notes","HPPR Rank","Exp Rank","Half PPR","Exp","Over Exp"
"T.Hill","MIA","WR","Leading NFL with 146 air yards per game. ","1","1","25.9","18.2","7.7"
"J.Jefferson","MIN","WR","Exp half PPR: 2022 (15.9), 2023 (17.0).","3","2","21.8","17","4.7"
"J.Meyers","LV","WR","5 red zone targets in 2 games helps a lot.","6","3","18.3","17","1.3"
"K.Allen","LAC","WR","2nd in targets. Now Mike Williams is on IR.","2","4","22.9","16.8","6.2"
"P.Nacua","LA","WR","Season low 7.0 xFPs, but 21% targets still.","10","5","16.4","16.7","-0.3"
"D.Adams","LV","WR","Exp half PPR: 2022 (15.1), 2023 (16.3).","4","6","20.9","16.3","4.6"
"D.Samuel","SF","WR","Season-high 17.9 exp half PPR w/o Aiyuk.","8","7","16.7","15","1.7"
"A.Brown","PHI","WR","Exp half PPR: 2022 (11.9), 2023 (14.7).","30","8","11.3","14.7","-3.4"
"M.Pittman","IND","WR","At least 12.6 exp half PPR in all 3 games.","16","9","13.8","14.2","-0.3"
"C.Olave","NO","WR","Between 12.2 & 14.1 exp half PPR in all.","17","10","13.7","13.5","0.3"
"D.Chark","CAR","WR","100% routes once Mingo left with concussion.","9","11","16.6","13.4","3.2"
"J.Chase","CIN","WR","More slot usage in Week 3 for easier catches.","32","12","10.8","13.4","-2.6"
"S.Diggs","BUF","WR","Exp half PPR: 2022 (16.0), 2023 (13.2).","11","13","15.5","13.2","2.2"
"M.Evans","TB","WR","His tape has been excellent. RZ freak still.","5","14","18.7","13.2","5.5"
"T.Atwell","LA","WR","Most schemed player for McVay so far.","15","15","13.9","12.9","1.1"
"T.Higgins","CIN","WR","Was seen going into locker room in WK3 dud.","43","16","9.3","12.9","-3.5"
"C.Ridley","JAX","WR","4 drops lead the NFL. Uncharacteristic.","40","17","9.9","12.4","-2.5"
"A.St. Brown","DET","WR","Exp half PPR: 2022 (14.0), 2023 (12.0).","13","18","14.8","12","2.8"
"M.Thomas","NO","WR","No YAC ability so far, but legit WR2/3 usage.","46","19","8.5","11.9","-3.4"
