player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Kuchar, Matt",0.289,39,0.318,1,0.103,130,-0.327,306,0.382,96,-12.053,391,0.049,59
"Smith, Cameron",0.624,1,0.311,2,0.617,17,0.091,155,1.643,10,2.535,163,-0.019,265
"Reed, Patrick",0.423,9,0.302,3,0.184,84,-0.144,249,0.765,52,-4.641,303,-0.002,200
"Fitzpatrick, Matthew",0.443,8,0.300,4,0.498,29,0.727,5,1.967,4,6.099,100,0.043,74
"Cantlay, Patrick",0.521,4,0.298,5,0.625,14,0.552,22,1.997,3,8.159,64,0.001,189
"Wilson, Oliver",-0.219,349,0.287,6,-0.434,339,-0.680,392,-1.046,342,1.007,193,-0.085,414
"Spieth, Jordan",0.137,106,0.279,7,0.515,28,0.398,43,1.328,18,7.150,87,-0.023,281
"Noh, Seung-Yul",0.286,40,0.276,8,-0.090,209,-1.043,423,-0.570,264,1.301,189,-0.097,425
"Dunne, Paul",0.262,43,0.276,9,-1.405,435,-1.536,436,-2.403,426,0.412,205,-0.150,440
"Thomas, Justin",0.206,65,0.260,10,0.817,2,0.518,28,1.800,7,12.205,37,-0.030,299
"Hadwin, Adam",0.249,45,0.259,11,0.156,100,0.075,161,0.739,57,-1.204,239,0.046,64
"Na, Kevin",0.116,119,0.259,12,0.322,54,-0.458,346,0.239,114,-12.843,401,0.027,110
"Gooch, Talor",0.226,51,0.257,13,0.599,18,0.168,123,1.249,21,2.167,171,0.021,128
"Hatton, Tyrrell",0.313,28,0.255,14,0.352,45,0.174,121,1.094,30,4.608,124,-0.025,286
"Kim, Si Woo",0.077,145,0.254,15,0.335,51,0.201,109,0.867,42,0.502,203,0.043,72
"Perez, Pat",0.137,105,0.253,16,0.012,166,-0.395,334,0.007,164,-10.991,379,0.026,113
"Lowry, Shane",0.004,190,0.253,17,0.802,4,0.404,40,1.463,14,5.750,106,0.025,115
"Scheffler, Scottie",0.222,54,0.249,18,0.998,1,0.745,4,2.215,2,12.473,32,0.026,114
"Kirk, Chris",0.096,131,0.247,19,0.226,77,0.324,59,0.894,39,-2.058,250,0.055,50
"McIlroy, Rory",0.396,14,0.243,20,0.811,3,0.955,1,2.405,1,21.772,3,-0.008,217
"Fleetwood, Tommy",0.348,22,0.241,21,0.418,38,0.171,122,1.178,25,3.486,150,-0.001,195
"Day, Jason",0.157,94,0.239,22,0.070,147,0.180,118,0.646,67,4.346,131,0.000,191
"Haas, Bill",0.144,102,0.235,23,-0.378,318,-0.331,308,-0.331,223,0.981,194,-0.046,348
"Jones, Matt",-0.239,362,0.226,24,0.167,93,0.234,90,0.388,94,4.167,135,-0.038,321
"Kisner, Kevin",0.293,35,0.226,25,-0.013,178,-0.315,300,0.190,124,-8.778,360,0.038,82
"Finau, Tony",0.209,59,0.225,26,0.743,9,0.607,17,1.784,8,8.315,61,0.002,185
"Schauffele, Xander",0.403,13,0.220,27,0.794,5,0.479,31,1.897,5,9.042,52,0.029,104
"Im, Sungjae",0.167,89,0.220,28,0.532,26,0.697,8,1.617,12,4.080,136,0.060,43
"English, Harris",0.313,27,0.220,29,-0.121,218,-0.561,372,-0.149,199,-1.523,245,0.005,177
"Matsuyama, Hideki",0.011,185,0.220,30,0.650,12,0.247,84,1.128,29,3.286,154,0.015,146
"Jaeger, Stephan",-0.001,197,0.219,31,0.265,68,-0.112,239,0.371,98,-4.128,290,-0.003,202
"Fowler, Rickie",-0.010,203,0.217,32,-0.013,177,0.026,180,0.220,118,6.475,95,0.001,188
"Putnam, Andrew",0.225,52,0.216,33,-0.082,206,-0.135,246,0.223,117,-15.771,413,0.059,47
"Larrazabal, Pablo",0.078,144,0.214,34,-0.048,192,-0.299,291,-0.056,179,-3.682,279,-0.032,305
"Willett, Danny",0.177,85,0.213,35,-0.261,267,-0.089,228,0.042,155,-0.160,219,-0.019,266
"Hughes, Mackenzie",0.328,24,0.212,36,-0.186,239,-0.349,314,0.004,165,-0.160,220,-0.037,317
"Varner III, Harold",0.095,132,0.209,37,0.620,16,0.222,98,1.146,27,5.881,102,-0.017,256
"Suri, Julian",-0.046,228,0.208,38,-1.070,426,-0.479,352,-1.387,380,-2.472,260,-0.058,367
"Fox, Ryan",0.073,152,0.205,39,0.448,36,0.043,175,0.770,50,15.050,20,-0.122,439
"Howell III, Charles",-0.055,238,0.202,40,0.132,110,0.334,56,0.613,70,3.491,149,0.002,187
"Noren, Alex",0.380,15,0.201,41,0.282,64,0.025,181,0.888,40,-0.424,227,0.005,176
"McCarthy, Denny",0.568,2,0.195,42,0.009,168,-0.231,271,0.541,75,-4.507,300,0.047,63
"Wise, Aaron",0.102,127,0.194,43,0.515,27,0.553,21,1.364,16,6.557,94,0.013,152
"Henley, Russell",-0.014,208,0.188,44,0.769,7,0.257,80,1.200,24,-2.039,249,0.070,25
"Harman, Brian",0.208,61,0.187,45,0.129,116,0.233,91,0.758,53,-5.216,316,0.064,35
"Burmester, Dean",-0.132,308,0.186,46,0.103,129,0.377,49,0.534,77,18.295,11,-0.063,383
