player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cam Camper,156414,WR,INDIANA,4,11.1,5,53.2,33.3,5,15,0,8.3,3,21,190,1,66.4,72.1,68.5,61.9,68.4,0.0,0,1,40,0.5,1,210,1,33,94.3,198,10.5,22,73.2,62,1,89.5,188,418,112,3.4,12.7,2.11
Rashee Rice,97605,WR,SMU,4,12.6,5,58.6,54.5,6,11,0,5.6,2,25,287,1,68.0,35.8,86.7,,84.9,0.0,0,1,54,0.0,0,162,0,34,92.6,150,14.8,24,107.2,58,4,85.2,138,563,157,4.6,16.6,3.75
Zakhari Franklin,97620,WR,UTSA,5,8.6,11,62.1,42.9,6,14,0,7.7,3,23,331,0,68.5,72.4,72.1,,71.2,0.0,0,2,43,0.0,0,242,0,36,94.2,228,15.3,37,109.1,58,6,84.7,205,489,234,6.5,13.6,2.14
Tyrin Smith,145487,WR,UTEP,5,14.4,5,50.0,16.7,1,6,0,19.4,7,15,330,1,28.7,31.7,60.7,,60.5,0.0,0,2,74,0.0,0,200,1,29,96.0,192,76.0,152,73.9,58,2,24.0,48,460,130,4.5,15.9,2.4
Xavier Hutchinson,122518,WR,IOWA STATE,4,8.8,6,69.2,54.5,6,11,0,5.3,2,20,193,1,76.2,72.6,84.3,,84.2,0.7,1,2,33,0.0,0,139,0,36,93.5,130,28.1,39,108.1,52,5,71.2,99,403,171,4.8,11.2,3.1
Charlie Jones,55038,WR,PURDUE,4,12.6,2,78.8,57.1,8,14,0,0.0,0,26,273,1,91.1,56.7,82.4,,85.0,0.0,0,0,55,0.0,0,159,2,41,93.7,149,8.2,13,149.0,52,7,91.8,146,533,171,4.2,13.0,3.58
De'Corian Clark,100892,WR,UTSA,5,12.0,9,71.2,33.3,3,9,0,0.0,0,27,331,0,84.0,73.2,86.5,,86.4,0.0,0,3,69,0.0,0,215,0,37,94.4,203,13.0,28,121.5,52,6,87.0,187,570,227,6.1,15.4,2.81
Dontayvion Wicks,99711,WR,VIRGINIA,4,15.0,4,36.2,12.5,1,8,0,22.7,5,7,335,1,31.4,25.3,55.0,,54.3,0.0,0,1,28,0.0,0,172,0,17,93.6,161,10.5,18,40.8,47,0,89.5,154,197,56,3.3,11.6,1.22
Zay Flowers,97268,WR,BOSTON COL,4,10.9,2,60.9,66.7,2,3,0,6.7,2,18,121,1,71.0,46.2,75.0,,74.4,0.0,0,4,51,0.0,0,157,0,28,94.9,149,38.9,61,68.3,46,3,60.5,95,331,199,7.1,11.8,2.22
Jacob Cowing,100894,WR,ARIZONA,4,11.3,7,60.9,40.0,2,5,0,15.2,5,22,109,0,47.0,74.0,79.8,,80.2,0.0,0,2,38,0.0,0,166,0,28,97.0,161,68.1,113,109.2,46,6,31.3,52,386,174,6.2,13.8,2.4
