player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Colin Goodfellow,51797,P,KENTUCKY,4,14,14,3.62,35.64,37.71,3.0,0,0,2,6,202,66.9,4,60,2,1,21.4,9,3,14,50.69,499,1,528
Zach Murphy,55435,K,WAKE,1,1,1,3.88,34.0,34.0,,0,0,0,1,339,60.0,0,34,0,0,0.0,0,0,1,3.88,34,0,34
Aidan Alves,57547,P,LIBERTY,4,20,20,3.89,36.8,42.3,18.0,0,0,6,7,206,66.8,9,64,1,0,25.0,90,5,20,77.76,736,1,846
Shane McDonough,57554,P,NC STATE,3,16,16,3.86,38.94,41.13,5.8,0,0,3,5,248,63.6,7,59,2,0,37.5,35,6,16,61.82,623,0,658
Sean Koetting,57567,P,MISSOURI,3,13,13,4.27,30.92,40.08,59.5,0,0,3,4,229,69.9,4,57,4,0,15.4,119,2,13,55.57,402,0,521
Jonah Wieland,60261,P,OHIO,3,14,14,3.73,29.64,37.43,12.1,0,0,0,2,259,47.4,4,51,3,0,64.3,109,9,14,52.17,415,0,524
Clayton Howell,60264,P,APP STATE,4,12,12,4.06,40.42,42.5,2.5,0,0,1,8,108,65.4,3,51,0,0,16.7,5,2,12,48.73,485,1,510
Bryce Baringer,60274,P,MICH STATE,4,13,13,3.69,45.69,53.0,8.8,0,0,3,2,223,62.4,5,70,1,0,30.8,35,4,13,47.93,594,3,689
Bernardo Rodriguez,60281,P,N TEXAS,5,19,19,4.16,38.53,39.37,5.3,1,0,2,14,251,63.9,8,54,0,0,15.8,16,3,20,79.04,732,0,748
Brad Robbins,60291,P,MICHIGAN,4,11,11,4.55,46.0,46.73,2.7,0,0,3,4,222,84.1,7,62,1,0,27.3,8,3,11,50.02,506,0,514
Joe Doyle,62972,P,MEMPHIS,4,18,18,4.08,44.33,47.67,4.0,0,0,3,8,218,74.7,5,64,0,0,27.8,20,5,18,73.47,798,2,858
Barney Amor,64486,P,PENN STATE,4,18,18,4.08,43.17,46.06,6.4,0,0,5,6,266,77.3,10,52,1,0,27.8,32,5,18,73.35,777,1,829
George Georgopoulos,75877,P,MISS STATE,4,9,9,3.81,40.89,43.22,0.5,0,0,3,3,227,60.8,6,50,0,0,22.2,1,2,9,34.32,368,1,389
Casey Glover,77064,P,TULANE,4,14,14,4.07,40.36,43.21,,1,0,3,9,319,71.5,7,61,0,0,0.0,0,0,15,57.04,565,2,605
Danny Longman,77071,P,BOSTON COL,4,26,26,4.0,41.58,42.35,6.7,0,0,3,15,121,66.4,7,76,5,0,11.5,20,3,26,104.01,1081,0,1101
Mackenzie Morgan,77587,P,TEMPLE,4,18,18,3.66,39.56,40.61,-0.5,0,0,6,8,306,50.3,5,54,1,0,11.1,-1,2,18,65.84,712,1,731
Andrew Osteen,77590,P,UCF,2,10,10,3.82,33.8,40.1,5.8,1,0,1,2,323,67.4,1,50,1,0,40.0,23,4,11,38.18,338,2,401
Issac Power,77593,P,BAYLOR,4,13,13,4.13,42.85,44.69,0.8,0,0,1,6,118,74.8,7,59,0,0,38.5,4,5,13,53.65,557,1,581
Ryan Bujcevski,77594,P,SMU,4,12,12,3.65,40.92,46.5,13.5,0,0,3,5,287,73.7,5,64,0,0,16.7,27,2,12,43.84,491,2,558
Nick Mihalic,77602,P,W MICHIGAN,4,21,21,4.06,40.05,41.43,3.2,0,0,2,9,347,64.1,2,53,1,0,42.9,29,9,21,85.19,841,0,870
Mike Rivers,78436,P,TROY,4,15,15,3.98,40.27,43.87,4.7,0,0,0,8,318,66.2,6,52,2,0,20.0,14,3,15,59.68,604,2,658
Anthony Beck II,78452,P,GA SOUTHRN,4,12,12,3.89,36.58,44.17,12.8,0,0,3,3,174,62.1,6,53,1,0,33.3,51,4,12,46.64,439,2,530
Chance Nolan,78493,QB,OREGON ST,1,1,1,2.76,40.0,40.0,,0,0,1,0,265,60.0,1,40,0,0,0.0,0,0,1,2.76,40,0,40
Timmy Bleekrode,79417,P,NEBRASKA,1,1,1,4.3,43.0,51.0,8.0,0,0,0,0,238,60.0,0,51,0,0,100.0,8,1,1,4.3,43,0,51
Colin McCreary,79434,P,USF,2,2,2,4.35,35.5,45.5,,0,0,0,1,327,60.0,0,51,0,0,0.0,0,0,2,8.69,71,1,91
Michael Turk,82012,P,OKLAHOMA,4,17,17,3.95,41.71,45.29,0.2,0,0,2,5,261,69.8,8,60,2,0,29.4,1,5,17,67.13,709,3,770
Carson King,82024,P,FRESNO ST,3,8,8,3.61,38.0,40.5,,0,0,1,3,169,63.1,3,50,3,0,0.0,0,0,8,28.91,304,1,324
Rhys Byrns,82027,P,LA LAFAYET,4,19,19,3.88,39.63,45.21,9.4,0,0,3,5,207,72.7,7,55,2,0,36.8,66,7,19,73.65,753,2,859
George Caratan,82030,P,UCONN,5,31,31,3.81,36.77,39.74,8.4,0,0,6,13,146,62.4,6,55,1,0,35.5,92,11,31,118.0,1140,0,1232
Luke Loecher,82041,P,OREGON ST,3,11,11,3.94,40.09,44.36,27.0,0,0,4,4,265,68.4,5,64,1,0,9.1,27,1,11,43.39,441,1,488
Adam Korsak,82044,P,RUTGERS,3,16,16,3.74,42.06,42.06,,0,0,6,10,278,59.2,7,50,0,0,0.0,0,0,16,59.87,673,0,673
Paxton Brooks,82049,P,TENNESSEE,3,9,9,4.28,41.22,43.44,,1,0,3,3,307,68.0,2,49,2,0,0.0,0,0,10,38.48,371,1,391
Clayton Stewart,82051,P,WYOMING,5,27,27,4.0,39.26,44.89,9.2,0,0,5,5,351,66.6,6,66,4,0,37.0,92,10,27,108.06,1060,3,1212
Kyle Greenwell,82052,P,UAB,3,12,12,4.06,36.17,46.58,9.0,0,0,1,2,321,68.2,1,55,0,0,41.7,45,5,12,48.74,434,4,559
Brenden Brady,83795,HB,UTSA,1,1,1,3.22,39.0,39.0,,0,0,1,0,331,60.0,1,39,0,0,0.0,0,0,1,3.22,39,0,39
Aaron Rodriguez,86345,P,NEW MEXICO,5,33,33,3.8,40.21,45.36,8.5,1,0,4,12,241,56.2,12,63,1,0,39.4,110,13,34,125.37,1327,3,1497
Michael Hayes,97151,P,GA STATE,4,24,24,3.72,40.67,44.38,7.7,2,0,4,10,175,57.8,7,57,0,0,37.5,69,9,26,89.23,976,1,1065
Jackson Baltar,97389,P,BUFFALO,3,13,13,3.37,34.69,40.15,12.8,0,0,3,2,126,50.3,3,52,3,0,30.8,51,4,13,43.81,451,1,522
Daton Montiel,97392,P,FIU,3,22,22,3.46,40.41,44.68,9.0,0,0,5,6,166,67.8,7,59,3,0,27.3,54,6,22,76.09,889,2,983
Jack Brooks,97588,P,S ALABAMA,4,17,17,3.53,37.41,43.35,11.6,0,0,3,1,288,76.9,9,58,5,0,41.2,81,7,17,60.06,636,1,737
Ivan Mora,97589,P,WAKE,4,16,16,3.98,40.69,40.69,0.0,1,0,5,6,339,66.5,8,50,4,0,6.3,0,1,17,63.71,651,0,651
Cole Snyder,97617,QB,BUFFALO,1,1,1,3.65,36.0,56.0,,0,0,0,0,126,60.0,0,56,0,0,0.0,0,0,1,3.65,36,1,56
Bo Nix,97790,QB,OREGON,1,1,1,2.66,33.0,33.0,,0,0,1,0,264,60.0,0,33,0,0,0.0,0,0,1,2.66,33,0,33
Lucas Dean,97981,P,UTSA,5,15,15,3.82,42.13,47.87,7.7,0,0,1,2,331,76.9,5,76,4,0,40.0,46,6,15,57.25,632,2,718
Collin Schlee,98025,QB,KENT STATE,1,1,1,4.51,50.0,50.0,,0,0,1,0,201,60.0,0,50,0,0,0.0,0,0,1,4.51,50,0,50
Ryan Sanborn,98199,P,STANFORD,3,9,9,4.01,42.78,45.44,4.8,0,0,1,2,300,67.2,4,53,1,0,55.6,24,5,9,36.1,385,0,409
Tom Hutton,98200,P,OKLA STATE,3,16,16,3.91,38.88,41.5,5.3,0,0,4,4,262,69.8,8,52,0,0,50.0,42,8,16,62.56,622,0,664
Porter Wilson,98463,P,DUKE,4,10,10,4.18,43.3,48.2,5.8,0,0,2,2,154,71.0,3,64,0,0,50.0,29,5,10,41.79,433,1,482
Kyle Ostendorp,98795,P,ARIZONA,4,11,11,3.68,36.55,48.73,15.7,0,0,1,0,109,65.5,2,64,2,0,54.5,94,6,12,40.45,402,2,536
Lou Hedley,98796,P,MIAMI FL,2,7,7,3.91,44.43,46.43,3.5,0,0,1,2,220,68.1,4,53,0,0,57.1,14,4,7,27.38,311,0,325
Noah Rauschenberg,99361,K,BAYLOR,1,1,1,3.62,14.0,14.0,,0,0,0,0,118,60.0,0,14,1,0,0.0,0,0,1,3.62,14,0,14
Austin McNamara,99363,P,TEXAS TECH,4,16,16,4.16,40.69,43.31,14.0,0,0,4,5,315,76.1,7,59,4,0,18.8,42,3,16,66.53,651,0,693
Jordy Sandy,99462,P,TCU,3,8,8,4.35,39.0,39.0,,0,0,5,3,305,77.7,5,53,0,0,0.0,0,0,8,34.81,312,0,312
Ty Zentner,99465,P,KANSAS ST,4,21,21,4.28,42.57,45.43,6.7,0,0,7,9,199,73.7,9,66,0,0,14.3,20,3,21,89.8,894,2,954
Aidan Swanson,99859,P,CLEMSON,4,19,19,3.51,35.58,39.42,9.1,0,0,2,6,140,52.2,4,51,3,0,42.1,73,8,19,66.69,676,0,749
Ben Kiernan,99871,P,N CAROLINA,4,14,14,3.79,45.36,50.29,9.9,0,0,4,3,245,63.7,4,70,0,0,50.0,69,7,14,53.1,635,0,704
Nicholas Barr-Mira,100480,K,UCLA,5,8,8,3.71,40.5,41.88,5.5,1,0,0,4,324,64.1,5,49,2,0,25.0,11,2,9,29.65,324,0,335
Matthew Hayball,100813,P,VANDERBILT,5,28,28,3.61,39.21,46.61,14.4,0,0,5,5,333,67.0,8,65,4,0,46.4,187,13,28,101.2,1098,1,1305
Kyle Ulbrich,100815,P,MIDDLE TN,5,27,27,3.6,38.22,43.7,9.7,0,0,6,6,224,63.1,9,66,4,0,25.9,68,7,27,97.31,1032,4,1180
Adam Barry,101046,P,OREGON,4,7,7,3.73,37.29,37.29,,0,0,1,6,264,60.0,2,46,0,0,0.0,0,0,7,26.13,261,0,261
Anthony Pecorella,101608,P,MARYLAND,1,1,1,3.06,33.0,33.0,,0,0,0,0,215,60.0,0,33,1,0,0.0,0,0,1,3.06,33,0,33
Colton Spangler,101609,P,MARYLAND,4,13,13,3.61,42.54,48.77,10.3,0,0,3,3,215,65.3,5,63,1,0,30.8,41,4,13,46.92,553,2,634
Tom Foley,101612,P,N ILLINOIS,4,14,14,4.0,40.79,46.14,9.4,0,0,1,4,254,67.8,4,61,1,0,57.1,75,8,14,56.01,571,0,646
Jack Bouwmeester,101613,P,UTAH,4,12,12,4.0,37.92,40.17,3.5,0,0,0,7,328,62.6,3,48,2,0,16.7,7,2,12,48.0,455,1,482
Chase Wyatt,101615,P,BALL ST,1,1,1,3.84,16.0,16.0,,0,0,0,0,117,60.0,0,16,1,0,0.0,0,0,1,3.84,16,0,16
Josh Carlson,102852,P,NEW MEX ST,5,25,25,4.08,41.64,41.72,0.3,0,0,3,14,242,61.4,5,54,2,0,24.0,2,6,25,102.1,1041,0,1043
Seamus O'Kelly,102853,P,TEXAS ST,4,22,22,3.68,38.05,43.36,12.3,0,0,2,11,314,67.5,1,63,2,0,13.6,37,3,22,80.9,837,4,954
Jay Bramblett,102854,P,LSU,3,10,10,4.17,37.5,44.3,12.0,0,0,0,3,211,72.5,3,56,2,0,40.0,48,4,10,41.69,375,1,443
Sam Clark,104755,P,JAMES MAD,3,10,10,3.77,39.5,41.5,,0,0,2,6,197,62.6,5,61,1,0,0.0,0,0,10,37.66,395,1,415
Brian Buschini,105308,P,NEBRASKA,4,18,18,4.31,41.22,45.22,17.3,0,0,4,9,238,69.7,6,65,1,0,16.7,52,3,18,77.65,742,1,814
Nik Constantinou,105801,P,TEXAS A&M,4,19,19,4.12,43.42,44.0,2.2,0,0,4,6,312,88.1,9,57,4,0,26.3,11,5,19,78.23,825,0,836
Jon Sot,108908,P,NOTRE DAME,4,20,20,3.84,43.5,45.6,4.4,0,0,5,8,258,61.1,11,75,1,0,25.0,22,5,20,76.76,870,1,912
Noah Gettman,108915,P,AKRON,4,30,30,3.77,36.87,40.0,8.2,0,0,4,10,102,58.7,8,58,6,0,30.0,74,9,30,113.03,1106,1,1200
Mason Hunt,121462,P,SO MISS,4,20,20,4.27,39.75,43.95,11.0,0,0,6,7,296,81.2,11,57,1,0,20.0,44,4,20,85.39,795,2,879
Ryan Hanson,121522,P,ARK STATE,3,17,17,3.8,41.53,45.47,5.9,0,0,2,6,113,74.1,6,68,0,0,47.1,47,8,17,64.68,706,1,773
Billy Boehlke,121556,P,ARMY,3,8,8,3.53,39.88,39.88,0.0,0,0,3,3,114,59.5,2,55,1,0,12.5,0,1,8,28.23,319,0,319
Joshua Sloan,122037,P,UTEP,5,19,19,3.94,41.63,44.95,4.6,0,0,1,7,330,70.7,7,64,4,0,26.3,23,5,19,74.85,791,2,854
Ryan Rehkow,122074,P,BYU,5,16,16,4.1,39.38,42.69,5.5,0,0,3,4,128,63.0,4,59,2,0,37.5,33,6,16,65.57,630,1,683
Alex Mastromanno,122406,P,FLORIDA ST,4,9,9,4.07,41.67,45.44,2.8,0,0,1,1,167,66.5,3,53,1,0,55.6,14,5,9,36.6,375,1,409
Jalon Daniels,122555,QB,KANSAS,1,1,1,2.96,33.0,33.0,,0,0,1,0,198,60.0,1,33,0,0,0.0,0,0,1,2.96,33,0,33
Reis Vernon,122581,P,KANSAS,3,6,6,4.01,43.33,43.33,0.0,0,0,1,4,198,66.5,3,53,0,0,16.7,0,1,6,24.04,260,0,260
Lachlan Wilson,123268,P,TULSA,4,14,14,3.53,46.14,46.71,1.6,1,0,6,1,320,63.3,9,61,2,0,35.7,8,5,15,49.39,646,0,654
Peter Moore,123358,P,VA TECH,4,22,22,3.99,41.82,42.82,1.0,0,0,3,11,337,59.4,11,67,5,0,9.1,2,2,22,87.85,920,1,942
Daniel Sparks,123492,P,VIRGINIA,4,17,17,3.97,38.06,44.88,12.7,0,0,3,4,335,75.7,7,59,2,0,35.3,76,6,17,67.55,647,2,763
Laine Wilkins,123686,P,HOUSTON,5,20,20,3.87,43.85,46.1,4.2,0,0,8,5,182,65.6,8,67,0,0,30.0,25,6,20,77.41,877,1,922
Luke Larsen,123823,P,E CAROLINA,4,15,15,3.42,33.27,38.8,7.7,1,0,1,6,156,57.3,4,55,2,0,20.0,23,3,16,51.35,499,3,582
Kai Kroeger,124245,P,S CAROLINA,4,17,17,3.51,39.88,42.59,5.2,0,0,4,5,289,54.4,11,79,2,0,29.4,26,5,17,59.73,678,1,724
Jeremy Crawshaw,124372,P,FLORIDA,4,11,11,4.05,41.27,44.73,9.5,0,0,2,5,163,70.0,6,54,0,0,36.4,38,4,11,44.52,454,0,492
Oscar Chapman,124403,P,AUBURN,4,15,15,4.07,43.53,43.47,-0.5,0,0,3,8,115,72.4,5,61,2,0,13.3,-1,2,15,61.04,653,0,652
Matthew Shipley,128212,K,HAWAII,5,27,27,3.61,35.56,39.56,8.8,0,0,6,5,180,56.5,6,55,5,0,37.0,88,10,27,97.43,960,1,1068
