"","name","slotName","oct04","july27","delta","percent_change","projectedPoints","teamName"
"1","Connor McDavid","C",1,1,0,0,1007,"Edmonton Oilers"
"2","Leon Draisaitl","C",2.7,2,-0.7,-35,868.8,"Edmonton Oilers"
"3","Auston Matthews","C",2.9,9,6.1,67.8,994.9,"Toronto Maple Leafs"
"4","Nathan MacKinnon","C",3.8,4,0.2,5,875.1,"Colorado Avalanche"
"5","David Pastrnak","W",4.9,3,-1.9,-63.3,760,"Boston Bruins"
"6","Matthew Tkachuk","W",6.4,5,-1.4,-28,725.2,"Florida Panthers"
"7","Mikko Rantanen","W",7.2,14,6.8,48.6,708.5,"Colorado Avalanche"
"8","Jason Robertson","W",8.2,10,1.8,18,639.5,"Dallas Stars"
"9","Jack Hughes","C",9.6,11,1.4,12.7,620.1,"New Jersey Devils"
"10","Jack Hughes","C",9.6,NA,NA,NA,NA,""
"11","Kirill Kaprizov","W",9.7,8,-1.7,-21.2,859.3,"Minnesota Wild"
"12","Brady Tkachuk","W",10.8,15,4.2,28,774.1,"Ottawa Senators"
"13","Nikita Kucherov","W",12,7,-5,-71.4,782.8,"Tampa Bay Lightning"
"14","Alex Ovechkin","W",14.6,16,1.4,8.8,814.6,"Washington Capitals"
"15","Tage Thompson","C",14.6,17,2.4,14.1,561.5,"Buffalo Sabres"
"16","Cale Makar","D",15,6,-9,-150,725.6,"Colorado Avalanche"
"17","Tim Stutzle","W",15.7,30,14.3,47.7,551.7,"Ottawa Senators"
"18","Timo Meier","W",16.7,59,42.3,71.7,747.5,"New Jersey Devils"
"19","Mitch Marner","W",18,19,1,5.3,706.8,"Toronto Maple Leafs"
"20","Igor Shesterkin","G",20.2,13,-7.2,-55.4,799.1,"New York Rangers"
"21","Kyle Connor","W",20.6,46,25.4,55.2,762.4,"Winnipeg Jets"
"22","Roman Josi","D",21.6,58,36.4,62.8,753.3,"Nashville Predators"
"23","William Nylander","W",21.8,68,46.2,67.9,603.5,"Toronto Maple Leafs"
"24","Elias Pettersson","C",23.5,22,-1.5,-6.8,604.3,"Vancouver Canucks"
"25","Ilya Sorokin","G",24.8,12,-12.8,-106.7,642.4,"New York Islanders"
"26","Jake Guentzel","W",25.5,66,40.5,61.4,732.3,"Pittsburgh Penguins"
"27","Jake Oettinger","G",27,20,-7,-35,444.7,"Dallas Stars"
"28","Juuse Saros","G",27.8,75,47.2,62.9,771.1,"Nashville Predators"
"29","Zach Hyman","W",28.1,37,8.9,24.1,545,"Edmonton Oilers"
"30","Alex DeBrincat","W",29.4,64,34.6,54.1,748.9,"Detroit Red Wings"
"31","Rasmus Dahlin","D",30.8,24,-6.8,-28.3,542.1,"Buffalo Sabres"
"32","Alexandar Georgiev","G",31.1,52,20.9,40.2,469.8,"Colorado Avalanche"
"33","Connor Hellebuyck","G",33.1,29,-4.1,-14.1,760.3,"Winnipeg Jets"
"34","Connor Bedard","C",33.6,32,-1.6,-5,NA,"Chicago Blackhawks"
"35","Sidney Crosby","C",34.4,26,-8.4,-32.3,696.8,"Pittsburgh Penguins"
"36","Andrei Svechnikov","W",34.5,41,6.5,15.9,718.8,"Carolina Hurricanes"
"37","Matt Boldy","W",37.5,39,1.5,3.8,428.1,"Minnesota Wild"
"38","Mika Zibanejad","C",37.9,25,-12.9,-51.6,668.3,"New York Rangers"
"39","Alex Tuch","W",39.2,56,16.8,30,423.7,"Buffalo Sabres"
"40","Erik Karlsson","D",39.3,35,-4.3,-12.3,447.6,"San Jose Sharks"
"41","Andrei Vasilevskiy","G",40.2,18,-22.2,-123.3,798.8,"Tampa Bay Lightning"
"42","Artemi Panarin","W",41.2,40,-1.2,-3,664.3,"New York Rangers"
"43","Clayton Keller","W",42.1,44,1.9,4.3,571.5,"Arizona Coyotes"
"44","Dougie Hamilton","D",43.1,51,7.9,15.5,580.2,"New Jersey Devils"
"45","Filip Forsberg","W",44.3,79,34.7,43.9,680.1,"Nashville Predators"
"46","Kevin Fiala","W",44.6,50,5.4,10.8,648.9,"Los Angeles Kings"
"47","Brayden Point","C",46,33,-13,-39.4,601.1,"Tampa Bay Lightning"
"48","Johnny Gaudreau","W",47.2,108,60.8,56.3,720.8,"Columbus Blue Jackets"
"49","Evan Bouchard","D",49.6,97,47.4,48.9,493.5,"Edmonton Oilers"
"50","Jeff Skinner","W",50.2,94,43.8,46.6,521.6,"Buffalo Sabres"
"51","Adam Fox","D",51.1,21,-30.1,-143.3,627.1,"New York Rangers"
"52","Cole Caufield","W",51.6,74,22.4,30.3,561.9,"Montreal Canadiens"
"53","Chris Kreider","W",52.1,53,0.899999999999999,1.7,655.3,"New York Rangers"
"54","Linus Ullmark","G",52.2,31,-21.2,-68.4,665.2,"Boston Bruins"
"55","Steven Stamkos","C",54.3,28,-26.3,-93.9,687.5,"Tampa Bay Lightning"
"56","Evander Kane","W",54.8,43,-11.8,-27.4,658.7,"Edmonton Oilers"
"57","Thatcher Demko","G",56.6,168,111.4,66.3,712.3,"Vancouver Canucks"
"58","Brad Marchand","W",57,42,-15,-35.7,578.2,"Boston Bruins"
"59","J.T. Miller","C",57.2,67,9.8,14.6,714.4,"Vancouver Canucks"
"60","Miro Heiskanen","D",57.7,92,34.3,37.3,519.9,"Dallas Stars"
"61","Jesper Bratt","W",59.9,45,-14.9,-33.1,553.1,"New Jersey Devils"
"62","Ilya Samsonov","G",60.6,132,71.4,54.1,537.3,"Toronto Maple Leafs"
"63","Tristan Jarry","G",63.1,175,111.9,63.9,693.3,"Pittsburgh Penguins"
"64","Patrik Laine","W",63.2,122,58.8,48.2,619,"Columbus Blue Jackets"
"65","Jack Eichel","C",64.2,38,-26.2,-68.9,664.3,"Vegas Golden Knights"
"66","Pierre-Luc Dubois","W",65,85,20,23.5,559.8,"Los Angeles Kings"
"67","Moritz Seider","D",65.8,81,15.2,18.8,461.1,"Detroit Red Wings"
"68","Tyler Toffoli","W",66.5,82,15.5,18.9,561.2,"New Jersey Devils"
"69","Aleksander Barkov","C",66.8,48,-18.8,-39.2,743.8,"Florida Panthers"
"70","Filip Gustavsson","G",69.1,73,3.90000000000001,5.3,299.9,"Minnesota Wild"
"71","Jonathan Marchessault","W",70.9,71,0.0999999999999943,0.1,616.9,"Vegas Golden Knights"
"72","Stuart Skinner","G",71.5,181,109.5,60.5,379.9,"Edmonton Oilers"
"73","Jonathan Huberdeau","W",73.8,133,59.2,44.5,742.7,"Calgary Flames"
"74","Victor Hedman","D",74.7,62,-12.7,-20.5,680.4,"Tampa Bay Lightning"
"75","Roope Hintz","C",75.2,23,-52.2,-227,604.2,"Dallas Stars"
"76","Jared McCann","W",75.5,111,35.5,32,535.7,"Seattle Kraken"
"77","John Tavares","C",76,36,-40,-111.1,653.7,"Toronto Maple Leafs"
"78","Travis Konecny","W",77.7,103,25.3,24.6,515.9,"Philadelphia Flyers"
"79","Drake Batherson","W",78.4,151,72.6,48.1,574.2,"Ottawa Senators"
"80","Nikolaj Ehlers","W",78.7,93,14.3,15.4,679,"Winnipeg Jets"
"81","Brent Burns","D",79.9,109,29.1,26.7,586.7,"Carolina Hurricanes"
"82","Nico Hischier","C",81.9,49,-32.9,-67.1,485.5,"New Jersey Devils"
"83","Claude Giroux","W",82.1,105,22.9,21.8,549.6,"Ottawa Senators"
"84","Vitek Vanecek","G",82.5,78,-4.5,-5.8,573.3,"New Jersey Devils"
"85","Darcy Kuemper","G",84.6,171,86.4,50.5,679.1,"Washington Capitals"
"86","Ryan Nugent-Hopkins","C",85.2,27,-58.2,-215.6,520,"Edmonton Oilers"
"87","Mikhail Sergachev","D",85.3,173,87.7,50.7,525,"Tampa Bay Lightning"
"88","Rickard Rakell","W",87.6,158,70.4,44.6,500,"Pittsburgh Penguins"
"89","John Carlson","D",89.7,112,22.3,19.9,657,"Washington Capitals"
