Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,6,242,167,1687,10,8,997,750,47,18.40%,3,1.20%,20,8.30%,8,31,12.20%,18
Buffalo Bills,6,206,133,1232,5,6.6,747,605,36,15.00%,15,6.30%,21,10.20%,19,55,22.90%,24
Carolina Panthers,6,204,132,1341,8,7.4,802,587,64,28.40%,20,8.90%,17,8.30%,9,46,20.40%,28
Chicago Bears,6,165,106,1072,4,6.4,519,624,26,13.90%,29,15.50%,7,4.20%,11,47,25.10%,36
Cincinnati Bengals,6,226,128,1308,5,8.7,783,589,52,21.60%,16,6.60%,31,13.70%,9,56,23.20%,27
Cleveland Browns,6,191,116,1379,8,8.3,751,691,54,26.10%,16,7.70%,11,5.80%,11,38,18.40%,26
Indianapolis Colts,6,185,126,1216,8,7.1,562,751,36,17.10%,19,9.00%,13,7.00%,15,47,22.40%,24
Arizona Cardinals,6,206,141,1401,8,6.3,606,888,92,40.90%,24,10.70%,18,8.70%,11,53,23.60%,40
Dallas Cowboys,6,211,131,1101,6,7.3,537,715,69,27.90%,28,11.30%,28,13.30%,24,80,32.40%,30
Denver Broncos,6,227,144,1107,3,6.8,650,572,84,33.20%,23,9.10%,24,10.60%,19,66,26.10%,41
Detroit Lions,5,170,112,1305,8,8.9,726,555,60,40.00%,22,14.70%,15,8.80%,7,44,29.30%,24
Green Bay Packers,6,151,107,984,4,5.9,524,521,59,46.50%,14,11.00%,14,9.30%,14,42,33.10%,26
Houston Texans,5,184,106,1247,4,8.3,725,578,34,16.60%,21,10.20%,11,6.00%,11,43,21.00%,39
Jacksonville Jaguars,6,223,142,1467,8,6.8,716,822,66,34.20%,20,10.40%,28,12.60%,10,58,30.10%,37
Kansas City Chiefs,6,245,169,1596,15,6.6,894,822,80,30.00%,28,10.50%,29,11.80%,14,71,26.60%,39
Miami Dolphins,6,205,139,1540,10,8.2,810,816,67,29.30%,13,5.70%,11,5.40%,12,36,15.70%,30
Minnesota Vikings,6,207,142,1632,6,9,928,795,42,21.50%,20,10.30%,14,6.80%,17,51,26.20%,29
New Orleans Saints,6,193,120,1332,9,8.3,760,669,34,15.90%,14,6.50%,12,6.20%,13,39,18.20%,26
New England Patriots,6,210,123,1313,9,9.2,773,629,68,34.30%,23,11.60%,17,8.10%,17,57,28.80%,32
New York Giants,6,186,108,1167,7,8.7,678,552,91,42.50%,22,10.30%,18,9.70%,13,53,24.80%,21
New York Jets,6,198,126,1247,8,8.9,766,572,33,14.90%,13,5.90%,32,16.20%,14,59,26.60%,21
Tennessee Titans,5,181,122,1438,12,7.9,940,587,39,19.30%,18,8.90%,15,8.30%,13,46,22.80%,35
Philadelphia Eagles,6,229,130,1128,7,7.4,588,502,58,29.10%,24,12.10%,23,10.00%,17,64,32.20%,35
Pittsburgh Steelers,6,232,141,1667,12,8.5,957,782,63,24.50%,10,3.90%,19,8.20%,12,41,16.00%,30
Las Vegas Raiders,5,178,122,1280,11,7,718,630,51,26.30%,13,6.70%,15,8.40%,8,36,18.60%,34
Los Angeles Rams,6,179,119,1183,6,5.9,533,734,58,28.70%,4,2.00%,10,5.60%,12,26,12.90%,23
Baltimore Ravens,6,239,157,1606,11,6.5,894,808,65,28.80%,18,8.00%,16,6.70%,15,49,21.70%,39
Los Angeles Chargers,6,208,136,1349,11,7.7,816,627,66,35.10%,14,7.40%,19,9.10%,15,48,25.50%,23
Seattle Seahawks,6,188,124,1470,9,9.1,742,826,46,21.70%,20,9.40%,17,9.00%,14,51,24.10%,41
San Francisco 49ers,6,185,122,1010,4,6.7,580,529,54,24.90%,22,10.10%,20,10.80%,23,65,30.00%,29
Tampa Bay Buccaneers,6,209,130,1160,9,8.5,715,575,73,35.80%,16,7.80%,21,10.00%,21,58,28.40%,17
Washington Commanders,6,190,110,1329,12,9.7,883,582,64,34.80%,10,5.40%,37,19.50%,19,66,35.90%,25
