player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Connor Bazelak,99135,QB,INDIANA,4,62.8,191,202,9.6,2.47,2,7,3.3,53.5,108,0,74,10.0,213,12,59,190,65.7,59.4,57.9,62.0,0,4,226,1,12.2,74.1,4.2,9,1,0,9,7,9,4.0,1171,5.8
Frank Harris,60586,QB,UTSA,5,72.6,186,195,9.0,2.5,3,11,5.3,67.7,132,0,72,2.2,226,3,92,331,67.4,89.6,83.2,83.7,1,5,240,2,13.9,105.3,4.4,10,21,2,3,12,6,2.5,1731,8.9
Michael Penix Jr.,82134,QB,WASHINGTON,5,73.9,188,195,10.2,2.44,1,12,5.8,64.6,126,0,42,9.4,202,13,85,340,76.1,83.8,84.4,55.8,1,3,213,1,4.8,113.9,1.0,2,5,2,3,16,3,1.4,1732,8.9
Kyle Vantrease,55029,QB,GA SOUTHRN,4,69.4,180,191,9.3,2.29,6,7,3.5,60.7,116,0,38,7.2,198,9,64,174,75.5,61.8,59.3,68.3,0,6,207,0,2.6,81.8,0.5,1,6,0,5,8,11,5.3,1296,6.8
Will Rogers,124184,QB,MISS STATE,4,83.2,179,188,5.9,2.33,4,8,4.1,73.9,139,0,38,6.7,203,10,76,227,60.7,85.6,84.6,56.6,0,3,212,0,23.7,116.1,4.4,9,3,0,5,16,2,0.9,1384,7.4
Ryan Hilinski,71295,QB,NWESTERN,4,68.4,177,186,8.1,2.64,3,2,1.0,62.4,116,2,39,4.1,191,5,60,256,57.0,56.4,55.1,61.5,2,3,201,5,7.7,83.7,1.6,3,1,0,4,5,9,4.5,1223,6.6
Chase Cunningham,78533,QB,MIDDLE TN,5,80.7,161,177,6.9,2.57,2,10,5.3,67.8,120,0,67,7.7,197,10,54,224,67.5,61.1,65.2,49.7,3,3,209,1,16.4,98.8,5.6,11,8,1,10,8,8,3.8,1368,7.7
John Paddock,77689,QB,BALL ST,4,70.6,163,174,7.3,1.96,7,12,6.7,63.8,111,0,45,3.5,175,4,55,117,74.6,75.1,73.6,61.4,1,4,181,0,2.2,88.4,0.6,1,0,0,3,8,5,2.8,1146,6.6
Gavin Hardison,100827,QB,UTEP,5,63.9,158,173,12.4,3.0,3,15,8.2,50.9,88,0,57,12.9,196,13,52,330,51.3,68.8,68.6,56.8,2,3,206,1,22.8,69.3,6.6,13,8,1,9,3,9,4.4,1089,6.3
Daniel Richardson,97103,QB,C MICHIGAN,4,66.1,165,171,9.3,2.36,1,6,3.2,57.3,98,0,48,10.1,182,11,59,134,74.8,62.6,61.4,61.5,1,4,198,0,14.6,84.9,3.8,7,4,0,4,9,6,3.0,1118,6.5
Jaren Hall,82094,QB,BYU,5,77.9,154,167,9.5,2.8,2,10,5.6,70.1,117,0,42,2.5,185,3,67,128,66.9,80.0,81.0,58.0,1,1,202,0,16.7,117.7,3.8,7,11,1,9,12,4,2.0,1433,8.6
Donovan Smith,73929,QB,TEXAS TECH,4,72.4,156,166,8.3,2.74,1,3,1.8,65.1,108,0,70,4.4,189,5,60,315,56.1,68.1,68.3,60.9,2,5,194,2,15.7,89.8,5.8,11,12,0,7,9,6,3.1,1116,6.7
Tanner Mordecai,77656,QB,SMU,4,67.5,157,165,10.3,2.53,0,13,7.3,58.2,96,0,31,9.4,178,10,64,287,62.7,74.8,76.9,45.3,1,5,190,0,19.4,96.9,3.4,6,6,0,7,12,5,2.6,1375,8.3
Clayton Tune,77652,QB,HOUSTON,5,76.7,146,160,7.5,3.16,3,7,4.1,65.0,104,0,70,7.1,199,8,62,182,57.1,80.1,77.6,68.6,0,3,213,1,21.4,98.2,7.5,15,23,0,11,9,7,3.3,1192,7.5
Layne Hatcher,82068,QB,TEXAS ST,4,72.3,148,159,9.7,2.62,2,9,5.5,62.9,100,0,48,6.5,175,7,43,314,49.0,62.0,61.9,56.7,0,4,181,2,22.9,93.3,6.3,11,3,0,9,10,8,4.4,1079,6.8
Austin Aune,83528,QB,N TEXAS,5,64.6,147,156,12.6,2.58,2,9,5.5,54.5,85,0,36,10.5,163,10,59,251,62.8,71.9,72.4,57.2,1,6,171,1,8.3,92.3,1.8,3,4,2,4,12,8,4.7,1316,8.4
Cameron Ward,133244,QB,WASH STATE,4,76.2,143,155,6.2,2.89,0,2,1.2,67.1,104,0,67,4.6,175,5,58,341,62.4,67.0,63.6,73.6,0,5,181,2,17.9,95.7,6.9,12,7,0,12,10,5,2.8,1102,7.1
Jayden de Laura,131928,QB,ARIZONA,4,70.5,149,153,10.4,3.04,0,9,5.7,60.1,92,0,50,12.4,168,13,64,109,62.0,73.4,70.6,76.4,1,6,173,5,12.0,84.6,3.6,6,9,0,3,8,11,6.4,1149,7.5
N'Kosi Perry,60446,QB,FAU,5,65.8,146,153,11.2,2.44,2,14,8.6,58.2,89,0,42,7.3,166,7,65,165,29.8,79.3,82.5,54.9,0,3,175,1,9.5,103.9,2.4,4,9,0,5,13,5,2.9,1217,8.0
Spencer Rattler,97408,QB,S CAROLINA,5,79.1,134,152,7.1,2.92,0,7,4.3,64.5,98,0,63,7.5,175,8,46,289,37.3,58.9,56.9,62.2,3,7,188,1,14.3,76.3,5.1,9,13,0,15,4,10,5.3,1127,7.4
Doug Brumfield,128348,QB,UNLV,5,81.8,143,149,8.2,2.83,0,6,3.9,70.5,105,0,54,10.3,183,12,68,325,49.8,90.9,88.6,76.7,4,2,188,1,24.1,107.3,7.1,13,21,0,2,8,3,1.6,1223,8.2
DJ Irons,145585,QB,AKRON,4,71.9,135,148,8.4,2.92,1,4,2.6,62.2,92,1,65,5.2,178,5,50,102,68.0,67.2,68.8,58.8,3,1,185,3,23.1,83.4,8.4,15,15,1,8,3,4,2.2,910,6.1
Cole Snyder,97617,QB,BUFFALO,4,66.9,139,147,9.5,2.35,4,6,3.9,61.9,91,0,46,2.2,169,2,55,126,68.8,78.3,72.2,77.3,0,2,176,0,26.1,93.1,7.1,12,10,0,4,7,6,3.4,1032,7.0
Austin Reed,111760,QB,W KENTUCKY,4,80.3,137,146,8.3,2.36,3,7,4.4,72.6,106,0,23,3.6,155,4,57,346,39.0,82.8,83.2,62.6,3,3,169,1,13.0,122.2,1.9,3,5,2,1,14,6,3.6,1268,8.7
Kurtis Rourke,97998,QB,OHIO,4,77.1,140,146,9.4,2.91,2,8,5.1,69.2,101,0,44,6.5,160,7,56,259,53.2,87.2,84.7,67.6,1,2,173,1,18.2,108.7,5.0,8,6,0,3,9,6,3.5,1195,8.2
Gunnar Watson,83570,QB,TROY,4,76.3,135,142,8.1,2.61,3,4,2.7,66.9,95,0,52,7.8,161,8,53,318,34.3,80.3,81.0,56.3,1,5,169,1,26.9,91.5,8.7,14,5,0,3,5,7,4.1,1247,8.8
Dorian Thompson-Robinson,83574,QB,UCLA,5,82.9,129,141,5.5,2.66,5,3,2.1,73.8,104,0,43,2.8,162,3,69,324,50.5,73.7,70.8,67.8,0,1,168,1,9.3,122.2,2.5,4,16,0,7,11,3,1.8,1205,8.5
Hunter Dekkers,122511,QB,IOWA STATE,4,76.3,139,141,6.7,2.56,0,6,4.0,71.6,101,1,44,4.7,154,5,54,193,63.6,66.7,71.0,47.5,0,5,163,1,18.2,101.0,5.2,8,5,0,2,10,5,3.1,1029,7.3
Ben Bryant,77655,QB,CINCINNATI,4,75.4,134,139,9.9,2.4,1,12,8.3,67.6,94,0,41,6.9,156,7,56,138,60.8,85.5,88.5,51.9,3,3,162,2,24.4,112.7,6.4,10,7,0,1,11,3,1.9,1230,8.8
Jack Plummer,83543,QB,CAL,4,72.0,125,139,9.4,2.77,2,6,3.9,61.2,85,0,56,5.6,159,5,54,130,61.3,66.5,61.1,79.3,2,2,172,0,21.4,95.5,7.5,12,8,0,10,8,4,2.3,975,7.0
Brennan Armstrong,77696,QB,VIRGINIA,4,60.7,135,138,11.2,2.82,2,6,4.0,51.4,71,0,71,13.4,169,11,43,335,40.8,47.4,45.0,59.0,0,4,180,0,15.5,65.5,6.5,11,20,0,1,3,11,6.1,839,6.1
Holton Ahlers,77651,QB,E CAROLINA,4,74.2,128,135,8.7,2.46,3,6,4.3,65.9,89,0,51,6.3,152,6,56,156,61.8,78.1,77.0,65.7,0,3,159,1,13.7,102.9,4.6,7,10,0,4,9,5,3.1,1065,7.9
Aidan O'Connell,60516,QB,PURDUE,3,71.2,125,134,9.5,2.35,1,6,4.2,64.2,86,0,32,3.4,137,3,45,273,73.3,73.8,73.7,57.3,3,1,146,1,6.3,103.5,1.5,2,1,0,5,8,4,2.7,1000,7.5
Hayden Wolff,98362,QB,DOMINION,4,63.6,129,134,10.9,2.47,4,10,7.0,55.2,74,0,49,9.8,147,8,37,263,44.6,62.6,61.7,67.4,1,1,155,2,20.4,92.1,6.8,10,3,0,0,7,7,4.5,954,7.1
JT Daniels,83578,QB,W VIRGINIA,4,72.9,129,133,9.3,2.35,0,6,4.2,64.7,86,0,34,8.5,140,8,52,343,44.5,76.8,76.5,57.0,4,2,151,2,14.7,97.2,3.6,5,2,0,0,7,6,4.0,956,7.2
Davis Brin,77642,QB,TULSA,4,71.3,129,132,12.9,2.57,1,10,7.1,62.9,83,0,41,9.8,149,9,60,320,60.6,85.8,84.8,65.5,2,1,157,1,24.4,123.2,6.7,10,7,0,0,12,2,1.3,1318,10.0
Grant Wells,97784,QB,VA TECH,4,67.5,123,131,9.4,2.73,2,5,3.6,60.3,79,0,33,4.8,141,4,49,337,76.6,65.2,65.8,58.1,0,5,150,2,12.1,76.0,2.8,4,6,0,6,5,4,2.7,844,6.4
Bo Nix,97790,QB,OREGON,4,86.1,115,131,6.4,2.62,3,3,2.2,71.8,94,0,24,5.1,141,5,52,264,76.2,77.1,71.6,73.0,0,3,150,2,0.0,112.7,0.0,0,10,0,13,10,4,2.7,1098,8.4
Phil Jurkovec,83533,QB,BOSTON COL,4,70.2,121,131,8.7,2.89,1,2,1.5,59.5,78,0,64,8.2,155,7,41,121,74.8,58.5,57.6,59.5,2,5,162,2,20.3,80.4,8.4,13,10,0,7,7,4,2.5,843,6.4
DJ Uiagalelei,122162,QB,CLEMSON,4,75.0,120,130,10.8,2.52,1,13,9.4,63.8,83,0,33,7.8,144,7,48,140,52.7,88.3,90.4,61.4,2,1,152,2,12.1,110.8,2.8,4,8,0,7,10,1,0.7,1033,7.9
Andrew Peasley,83581,QB,WYOMING,5,69.1,123,130,8.6,2.86,2,4,2.9,58.5,76,0,30,10.6,145,9,39,351,50.4,58.7,51.9,71.3,1,2,151,1,16.7,81.1,3.4,5,10,0,4,5,10,6.6,746,5.7
Drake Maye,143969,QB,N CAROLINA,4,77.0,122,129,10.6,2.73,0,12,8.6,68.2,88,0,61,6.4,156,6,60,245,51.9,88.8,85.1,73.4,1,1,168,0,16.4,133.9,6.4,10,16,1,5,15,3,1.8,1221,9.5
Tommy DeVito,60545,QB,ILLINOIS,4,80.2,121,128,7.1,2.39,0,6,4.5,68.8,88,0,26,9.3,146,9,48,187,61.7,82.2,81.8,62.8,0,2,151,0,34.6,107.3,6.2,9,7,0,7,9,5,3.3,951,7.4
Chase Brice,60363,QB,APP STATE,4,70.2,121,128,11.1,2.47,0,12,8.8,61.7,79,0,42,7.1,145,6,49,108,47.9,76.0,77.9,56.8,1,2,154,2,19.0,108.7,5.5,8,9,0,6,11,8,5.2,1015,7.9
Devin Leary,77628,QB,NC STATE,4,72.5,120,125,9.7,2.45,0,5,3.8,64.0,80,1,25,8.0,134,7,46,248,59.5,71.8,66.1,81.9,3,2,142,2,24.0,102.4,4.5,6,3,0,2,9,5,3.5,890,7.1
Stetson Bennett,60387,QB,GEORGIA,4,82.5,120,125,8.2,2.49,1,3,2.3,73.6,92,0,24,7.1,129,7,59,173,60.1,90.2,86.0,79.0,0,1,134,1,8.3,114.2,1.6,2,2,1,3,5,3,2.2,1224,9.8
Caleb Williams,144622,QB,USC,4,73.7,118,123,9.5,3.28,1,4,3.1,65.0,80,0,49,8.0,145,7,55,326,49.7,81.0,77.4,72.6,0,0,153,1,20.4,116.4,6.9,10,12,1,3,9,2,1.3,1054,8.6
James Blackman,60382,QB,ARK STATE,4,74.3,113,123,7.4,2.63,0,4,3.1,67.5,83,0,52,1.2,142,1,42,113,75.1,72.3,71.2,63.3,3,1,149,0,19.2,101.1,7.0,10,8,0,7,5,0,0.0,962,7.8
Carter Bradley,77685,QB,S ALABAMA,4,77.6,116,123,7.4,2.25,3,7,5.3,66.7,82,0,23,8.9,138,8,54,288,73.9,73.1,72.2,66.9,1,3,147,2,21.7,108.7,3.6,5,9,0,3,10,4,2.7,1007,8.2
Seth Henigan,144267,QB,MEMPHIS,4,74.4,117,122,10.1,2.85,1,5,3.8,66.4,81,0,42,6.9,146,6,45,218,27.7,77.2,80.8,55.9,0,1,155,2,21.4,112.8,6.2,9,14,0,4,8,3,1.9,1081,8.9
Anthony Richardson,124393,QB,FLORIDA,4,64.8,105,121,11.7,3.08,1,5,3.9,52.9,64,0,49,5.9,136,4,46,163,52.3,65.0,60.5,67.2,4,5,145,0,8.2,64.5,2.9,4,10,1,10,2,6,4.1,873,7.2
Bryce Young,123943,QB,ALABAMA,4,79.5,112,121,9.5,2.83,0,6,4.8,68.6,83,0,36,6.7,137,6,63,103,73.2,90.1,84.9,83.4,2,2,141,1,11.1,123.6,2.9,4,12,0,7,13,3,2.1,1028,8.5
Matt McDonald,60350,QB,BOWL GREEN,3,69.5,105,119,8.4,2.78,7,7,5.3,56.3,67,0,49,8.2,134,6,38,122,74.7,78.9,79.3,61.2,4,0,147,0,8.2,101.2,3.0,4,9,0,3,10,2,1.4,690,5.8
TJ McMahon,83521,QB,RICE,4,71.4,112,119,10.7,2.57,3,3,2.3,63.0,75,0,47,6.3,140,5,47,275,59.4,74.2,69.8,73.9,1,7,153,0,23.4,86.7,7.9,11,9,1,2,8,4,2.6,976,8.2
Payton Thorne,101629,QB,MICH STATE,4,71.7,113,119,9.5,2.78,3,4,3.1,64.7,77,0,31,4.9,131,4,45,223,60.3,66.2,65.4,60.2,1,6,141,0,19.4,86.1,4.6,6,6,1,1,7,6,4.3,900,7.6
Casey Thompson,77677,QB,NEBRASKA,4,77.7,112,118,10.5,2.65,0,8,6.5,64.4,76,0,41,12.6,133,11,48,238,59.7,90.3,86.5,77.3,2,3,140,2,24.4,94.4,7.5,10,5,0,4,5,3,2.1,995,8.4
Dillon Gabriel,86272,QB,OKLAHOMA,4,75.5,110,118,9.3,2.54,4,5,4.0,66.9,79,0,29,4.8,132,4,50,261,74.9,86.5,80.5,82.7,1,0,139,2,27.6,127.4,6.1,8,4,0,3,11,0,0.0,1088,9.2
Taulia Tagovailoa,97271,QB,MARYLAND,4,83.3,114,118,7.2,2.96,0,7,5.7,74.6,88,0,31,7.4,131,7,52,215,75.2,89.0,90.3,61.5,0,4,136,1,12.9,108.7,3.1,4,9,0,4,7,6,4.4,1098,9.3
Tyler Van Dyke,122225,QB,MIAMI FL,4,71.3,108,117,8.4,2.66,3,4,3.1,59.0,69,0,32,10.4,130,8,39,220,73.6,56.6,58.5,44.6,0,3,143,0,18.8,80.8,4.6,6,6,0,6,4,6,4.2,809,6.9
Jeff Sims,122496,QB,GA TECH,4,69.0,113,117,8.1,2.55,2,4,3.4,59.8,70,0,45,10.3,145,8,37,176,63.8,67.3,66.2,62.2,2,2,148,0,26.7,76.8,8.3,12,15,0,0,2,4,2.7,738,6.3
Sean Clifford,51708,QB,PENN STATE,4,74.3,109,117,8.5,2.85,2,3,2.4,64.1,75,0,43,7.4,130,6,47,266,60.4,72.2,69.9,62.6,2,1,140,0,11.6,106.4,3.8,5,8,0,4,8,3,2.1,890,7.6
Will Levis,83542,QB,KENTUCKY,4,79.1,110,117,9.7,2.79,2,2,1.6,67.5,79,0,57,9.2,140,8,57,202,47.2,69.5,69.5,58.3,0,4,146,0,26.3,114.7,10.7,15,8,0,5,10,6,4.1,1183,10.1
John Rhys Plumlee,97602,QB,UCF,4,74.3,113,116,8.2,2.64,0,7,5.3,60.3,70,0,32,16.7,136,14,42,323,36.8,74.0,67.8,70.3,2,3,152,1,28.1,86.2,6.6,9,11,0,1,5,11,7.2,843,7.3
Darren Grainger,78496,QB,GA STATE,4,65.4,107,113,12.6,2.81,2,5,4.0,53.1,60,0,40,14.3,132,10,40,175,77.9,76.0,76.5,64.1,3,4,145,1,15.0,90.0,4.5,6,12,0,1,9,4,2.8,865,7.7
Cameron Rising,77663,QB,UTAH,4,72.1,111,113,9.0,2.46,0,3,2.6,66.4,75,0,30,6.3,123,5,52,328,74.2,81.8,78.0,72.9,0,2,124,1,10.0,114.4,2.4,3,6,0,2,10,3,2.4,946,8.4
Hendon Hooker,60593,QB,TENNESSEE,4,76.6,111,113,11.5,2.63,0,7,5.6,71.7,81,0,31,4.7,132,4,49,307,49.1,90.5,82.2,88.5,1,0,144,1,29.0,129.4,6.8,9,10,0,1,8,2,1.4,1193,10.6
Jayden Daniels,97993,QB,LSU,4,78.9,109,112,7.0,2.95,1,2,1.7,72.3,81,0,39,5.8,148,5,56,211,75.0,82.6,70.7,85.6,0,0,152,0,30.8,111.3,8.1,12,24,1,1,6,0,0.0,835,7.5
Parker McNeil,123714,QB,LA TECH,4,65.7,102,111,10.1,2.29,6,9,7.4,55.0,61,0,26,9.0,115,6,32,208,28.2,64.7,67.8,31.3,2,7,126,0,15.4,79.7,3.5,4,0,0,1,8,6,4.8,907,8.2
C.J. Stroud,129759,QB,OHIO STATE,4,73.6,110,111,10.8,2.73,0,7,6.0,70.3,78,0,19,3.7,116,3,54,260,74.0,88.5,87.3,63.1,0,1,122,0,10.5,142.2,1.7,2,2,0,1,16,5,4.1,1218,11.0
Garrett Shrader,98212,QB,SYRACUSE,4,73.6,106,111,10.2,3.15,0,4,3.3,65.8,73,0,55,6.4,143,5,59,304,78.3,84.2,78.5,75.8,3,1,157,1,20.0,114.2,7.7,11,21,0,2,8,5,3.2,986,8.9
Brady Cook,124199,QB,MISSOURI,4,71.7,106,111,9.9,2.59,1,5,4.4,63.1,70,0,34,7.9,133,6,36,229,62.5,74.4,66.6,76.6,0,4,135,2,17.6,82.3,4.5,6,14,1,3,4,6,4.4,817,7.4
Logan Bonner,39990,QB,UTAH ST,4,62.0,108,110,11.5,2.45,0,9,7.6,56.4,62,0,20,7.5,115,5,33,329,43.3,60.6,63.3,45.6,0,8,124,0,10.0,64.9,1.7,2,3,0,2,6,9,7.3,739,6.7
