player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ahofitu Maka,100803,C,UTSA,5,100.0,0,331,64.8,74.1,60.3,0,9,232,100.0,100.0,98.1,1,9,0,393,393,0,0,393,249,249,0,0,144,0
Venly Tatafu,158830,T,UTSA,5,100.0,1,331,66.4,54.6,75.2,1,10,230,100.0,100.0,97.2,6,12,1,391,0,1,390,391,247,247,0,0,144,0
Gabe Blair,145323,G,N TEXAS,5,100.0,0,251,69.5,76.4,66.7,0,0,171,100.0,100.0,99.4,1,1,1,375,0,372,0,375,181,181,3,0,194,0
Jack Freeman,77435,C,HOUSTON,5,100.0,1,182,65.2,75.3,64.6,0,4,199,100.0,100.0,98.5,5,5,1,373,373,0,0,373,213,213,0,0,160,0
Manase Mose,59950,C,N TEXAS,5,100.0,0,251,61.8,53.5,68.7,1,2,171,100.0,100.0,99.1,4,3,0,365,365,0,0,365,181,181,0,0,184,0
Austin Hopp,65055,T,HAWAII,5,99.7,1,180,56.0,58.3,56.5,2,12,213,99.5,99.5,96.2,2,15,1,364,0,0,0,365,220,221,0,361,144,4
Cam'Ron Johnson,101018,G,HOUSTON,5,100.0,0,182,60.2,76.6,56.7,0,2,192,100.0,100.0,99.0,2,3,1,362,0,362,0,362,206,206,0,0,156,0
Amani Trigg-Wright,81887,G,UNLV,5,100.0,0,325,61.8,58.6,62.5,2,8,199,100.0,100.0,97.5,3,10,0,361,0,0,0,361,204,204,361,0,157,0
Terrell Haynes,81913,G,UTSA,5,100.0,0,331,57.0,86.4,49.0,0,3,210,100.0,100.0,99.3,2,3,0,360,0,344,1,360,226,226,15,0,134,0
Eliki Tanuvasa,79663,C,HAWAII,5,100.0,0,180,63.4,74.8,60.0,0,8,214,100.0,100.0,97.7,2,9,1,358,358,0,0,358,218,218,0,0,140,0
