player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Colin Goodfellow,51797,P,KENTUCKY,9,34,34,3.72,36.91,39.59,11.8,1,0,6,17,202,67.1,11,60,4,1,17.6,71,6,35,126.48,1255,1,1346
Zach Murphy,55435,K,WAKE,2,2,2,4.17,39.5,40.5,2.0,0,0,0,1,339,59.3,0,47,0,0,50.0,2,1,2,8.34,79,0,81
Aidan Alves,57547,P,LIBERTY,9,44,44,3.96,38.68,42.02,13.4,1,0,12,20,206,68.2,19,64,2,0,18.2,107,8,45,174.23,1702,2,1849
Shane McDonough,57554,P,NC STATE,8,40,40,3.88,36.88,41.4,10.1,0,0,4,18,248,62.0,13,59,2,0,35.0,141,14,40,155.01,1475,2,1656
Sean Koetting,57567,P,MISSOURI,3,13,13,4.27,30.92,40.08,59.5,0,0,3,4,229,69.9,4,57,4,0,15.4,119,2,13,55.57,402,0,521
Jonah Wieland,60261,P,OHIO,4,16,16,3.62,31.38,38.38,10.2,0,0,0,2,259,47.7,4,51,3,0,68.8,112,11,16,57.97,502,0,614
Clayton Howell,60264,P,APP STATE,9,31,31,3.88,36.23,38.87,7.3,0,0,7,17,108,53.7,7,51,1,0,9.7,22,3,31,120.28,1123,3,1205
Bryce Baringer,60274,P,MICH STATE,9,39,39,3.75,46.31,49.97,6.4,0,0,8,10,223,67.8,18,70,5,0,33.3,83,13,39,146.4,1806,3,1949
Bernardo Rodriguez,60281,P,N TEXAS,10,38,38,3.83,39.68,40.42,3.1,1,0,6,23,251,61.7,14,54,0,0,23.7,28,9,39,145.35,1508,0,1536
Brad Robbins,60291,P,MICHIGAN,8,22,22,4.36,44.45,45.23,3.4,1,0,6,8,222,81.9,12,62,3,0,22.7,17,5,23,95.85,978,0,995
Joe Doyle,62972,P,MEMPHIS,10,40,40,4.09,40.58,47.2,12.1,0,0,3,19,218,77.8,13,64,0,0,30.0,145,12,40,163.78,1623,6,1888
Barney Amor,64486,P,PENN STATE,9,37,37,3.76,41.43,44.59,6.3,0,0,11,11,266,72.2,18,59,3,0,24.3,57,9,37,139.18,1533,3,1650
George Georgopoulos,75877,P,MISS STATE,9,21,21,3.66,36.86,39.29,5.2,0,0,7,5,227,55.5,7,50,2,0,28.6,31,6,21,76.83,774,1,825
Casey Glover,77064,P,TULANE,8,31,31,4.03,38.0,41.16,-0.7,1,0,5,16,319,72.1,15,65,2,0,9.7,-2,3,32,124.86,1178,5,1276
