team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
STTMFL,1477,1,38,0,1,38,98.7,1,0
W OREGON,411,1,35,1,2,35,95.7,3,0
MISS COL,990,1,11,0,1,11,95.5,1,0
GEORGIA,173,9,339,3,30,339,95.1,33,0
N DAK ST,250,9,193,5,13,193,94.3,20,2
OHIO STATE,260,9,283,5,24,283,94.2,31,2
FURMAN,170,9,324,3,26,324,94.0,34,5
BYU,128,10,367,6,36,367,94.0,43,1
OREGON,264,9,320,4,35,320,93.9,39,0
N TEXAS,251,10,321,9,22,321,93.9,35,4
W KENTUCKY,346,10,453,5,31,453,93.4,48,12
BUTLER,127,9,299,3,35,301,93.3,39,1
MONTANA ST,233,9,256,4,23,256,93.2,31,4
YALE,352,8,231,5,23,231,93.1,30,2
SMU,287,9,394,6,34,394,92.9,48,8
ALABAMA,103,9,370,6,43,370,92.8,51,2
UC DAVIS,322,9,364,4,33,364,92.7,45,8
WYOMING,351,9,246,4,28,246,92.7,34,2
OKLAHOMA,261,9,314,8,28,314,92.7,41,5
UCONN,146,10,253,4,23,253,92.7,32,5
WEBER ST,342,9,309,4,28,309,92.6,39,7
NOTRE DAME,258,9,268,10,24,268,92.5,37,3
NC A&T,246,8,241,3,23,241,92.5,31,5
WM & MARY,348,9,217,7,26,217,92.4,33,0
MONTANA,232,9,327,7,35,328,92.4,46,4
NWESTERN,256,9,376,8,38,376,92.3,52,6
PURDUE,273,9,428,12,48,428,92.1,64,4
KENT STATE,201,10,326,3,41,326,92.0,48,4
WASHINGTON,340,9,418,7,52,418,92.0,63,4
JACKSON ST,194,8,382,7,41,382,91.9,55,7
KANSAS,198,9,245,5,33,245,91.8,39,1
KYCRST,1474,1,55,2,3,56,91.8,7,2
AIR FORCE,101,9,85,1,11,85,91.8,13,1
INCAR WORD,189,9,342,4,33,342,91.7,47,10
LOUISVILLE,210,9,303,11,29,303,91.7,45,5
UVAWIS,1320,1,48,1,7,48,91.7,8,0
SE MO ST,293,8,327,7,39,327,91.7,50,4
SACRAMENTO,279,9,311,6,39,311,91.5,49,4
UTEP,330,10,381,11,36,381,91.5,56,9
NC STATE,248,9,351,8,36,351,91.5,52,8
GEORGETOWN,172,9,396,15,37,396,91.4,60,8
BALL ST,117,10,419,12,48,419,91.4,66,6
PENN,267,8,340,11,38,340,91.3,54,5
WISCONSIN,349,9,247,7,20,247,91.3,35,8
CAMPBELL,131,8,326,1,44,326,91.3,51,6
TXAMCO,1139,8,273,8,30,273,91.2,43,5
USF,327,9,275,8,31,275,91.1,44,5
MERCER,219,9,264,7,30,264,91.1,42,5
TARLETON,401,9,319,7,29,319,90.9,47,11
GA SOUTHRN,174,10,487,24,62,487,90.8,88,2
INWSLY,1451,1,49,0,5,49,90.8,7,2
TENNESSEE,307,9,344,8,39,344,90.8,55,8
TULANE,319,9,306,8,26,306,90.8,45,11
CLEMSON,140,9,334,8,38,334,90.7,54,8
TEXAS,311,9,306,7,40,306,90.7,52,5
E CAROLINA,156,9,356,9,47,356,90.7,61,5
UCF,323,9,317,5,36,317,90.7,50,9
ST FRANCIS,299,9,293,6,45,293,90.6,53,2
APP STATE,108,9,316,15,31,316,90.5,53,7
MICH STATE,223,9,320,8,35,320,90.5,52,9
SO UTAH,298,9,349,13,39,350,90.5,59,7
BAYLOR,118,9,306,12,33,306,90.4,52,7
UTAH ST,329,9,319,11,38,319,90.4,55,6
TEXAS ST,314,9,374,8,44,374,90.4,62,10
MARYLAND,215,9,354,3,51,354,90.4,61,7
UTAH,328,9,308,4,45,308,90.4,54,5
DRAKE,153,9,382,2,56,382,90.3,66,8
WJWLL,1198,1,36,3,4,36,90.3,7,0
SOCTOW,1107,1,36,0,5,36,90.3,6,1
W CAROLINA,344,9,403,10,50,403,90.3,69,9
HOLY CROSS,181,9,252,1,38,252,90.3,44,5
MINNESOTA,225,9,235,5,27,235,90.2,39,7
S ALABAMA,288,9,342,9,33,342,90.1,55,13
USC,326,9,367,2,69,367,90.1,72,1
JVILLE ST,196,9,218,12,17,218,90.1,36,7
TAYLOR,402,1,20,2,2,20,90.0,4,0
MISS STATE,227,9,469,14,55,469,89.9,82,13
MICHIGAN,222,9,263,13,26,263,89.9,46,7
HARVARD,179,8,274,15,29,274,89.8,50,6
ILLINOIS,187,9,314,6,36,314,89.8,53,11
HOUSTON,182,9,398,7,55,398,89.7,72,10
DUKE,154,9,300,7,45,300,89.7,57,5
E KENTUCKY,159,9,380,4,60,381,89.7,71,7
W VIRGINIA,343,9,363,10,55,363,89.7,70,5
TENN TECH,309,8,300,5,43,300,89.7,55,7
MISSOURI,229,9,304,6,39,304,89.6,54,9
MO S&T,387,1,24,1,4,24,89.6,5,0
FAU,165,9,306,10,44,306,89.5,59,5
S DIEGO ST,284,9,262,8,33,262,89.5,48,7
FLORIDA,163,9,287,5,51,287,89.5,58,2
SM HOUSTON,281,7,261,4,40,261,89.3,50,6
OREGON ST,265,9,253,12,36,253,89.3,51,3
CORNELL,147,8,290,8,42,290,89.3,56,6
SYRACUSE,304,9,308,9,43,308,89.3,59,7
DELTAST,841,1,37,1,7,37,89.2,8,0
FORDHAM,168,8,337,10,43,337,89.2,63,10
CHATTNOOGA,137,8,246,13,24,246,89.2,45,8
RICHMOND,276,9,398,9,59,398,89.2,77,9
STANFORD,300,9,380,13,42,380,89.1,69,14
PRVIEW A&M,270,8,220,6,36,220,89.1,45,3
N ILLINOIS,254,10,289,11,40,289,89.1,57,6
RHODE ISLD,274,9,302,11,27,302,89.1,52,14
TEMPLE,306,9,338,14,54,338,89.1,71,3
SOUTHERN U,297,8,245,4,30,245,89.0,44,10
BOISE ST,120,9,269,8,45,269,89.0,56,3
ELON,162,10,327,9,47,327,89.0,64,8
SAMFORD,282,9,364,18,43,364,88.9,71,10
LA LAFAYET,207,10,384,15,52,384,88.9,76,9
N DAKOTA,249,9,334,5,50,335,88.8,65,10
HOWARD,184,8,288,6,39,288,88.7,55,10
LSU,211,9,389,8,46,389,88.7,71,17
GARD-WEBB,171,9,373,12,50,373,88.7,73,11
N CAROLINA,245,9,393,11,58,393,88.7,79,10
VANDERBILT,333,9,304,10,47,304,88.7,63,6
GA STATE,175,9,273,12,36,273,88.6,55,7
ARKANSAS,111,9,307,8,46,309,88.6,62,8
MOREHEAD,234,8,351,16,44,351,88.6,70,10
STTHOM,1129,9,251,6,37,252,88.6,50,7
BRYANT,124,8,368,14,44,368,88.6,71,13
CHARLES SO,135,8,362,10,55,363,88.5,74,9
TCU,305,9,308,15,40,308,88.5,63,8
MIAMI OH,221,10,314,8,46,314,88.5,63,9
MARSHALL,214,9,326,6,39,326,88.5,60,15
TENN MARTN,310,9,351,6,61,351,88.5,74,7
MAINE,212,8,321,17,41,321,88.5,66,8
COLUMBIA,145,8,305,10,48,306,88.5,64,6
DELAWARE,151,9,396,1,69,396,88.4,81,11
UCLA,324,9,324,11,52,324,88.4,69,6
ROB MORRIS,277,8,294,12,39,294,88.3,60,9
N IOWA,255,10,351,11,57,351,88.3,75,7
STHLSK,1470,6,188,2,32,188,88.3,39,5
VA TECH,337,9,338,8,46,338,88.2,67,13
E WASHGTON,161,9,390,17,61,390,88.2,85,7
LIBERTY,206,9,338,10,56,338,88.2,73,7
SAN DIEGO,283,8,306,13,47,307,88.2,66,6
COLORADO,143,9,332,9,55,332,88.0,72,8
CINCINNATI,138,9,341,16,36,341,88.0,67,15
MARIST,213,8,321,8,49,321,88.0,67,10
CONCMI,1472,1,46,1,6,46,88.0,9,2
DUQUESNE,155,9,333,7,51,333,88.0,69,11
UAB,321,9,255,5,32,255,88.0,49,12
TOWSON,317,9,296,8,35,296,88.0,57,14
ILL STATE,188,9,313,12,40,313,87.9,64,12
LOUCHR,958,1,33,0,6,33,87.9,7,1
SCAR STATE,290,8,293,10,49,293,87.9,65,6
COAST CAR,141,9,303,8,44,303,87.8,63,11
UMASS,216,9,226,5,39,226,87.6,50,6
WAKE,339,9,382,9,58,382,87.6,81,14
PRINCETON,272,8,310,8,45,310,87.6,65,12
CAL POLY,129,9,448,12,72,448,87.5,98,14
LNDNWD,949,8,385,9,73,385,87.5,89,7
WASH STATE,341,9,404,6,72,404,87.4,90,12
DARTMOUTH,148,8,243,6,43,243,87.4,55,6
LA TECH,208,9,368,20,41,368,87.4,77,16
UTSA,331,9,401,5,80,401,87.4,93,8
ARIZONA,109,9,410,11,82,410,87.4,98,5
AUSTINPEAY,116,9,354,11,47,354,87.3,74,16
E TENN ST,157,9,317,10,47,318,87.2,69,12
NEW HAMP,240,9,324,4,55,324,87.2,71,12
OLE MISS,226,9,269,20,37,269,87.2,63,6
MEMPHIS,218,10,434,9,67,434,87.1,94,18
MIAMI FL,220,9,379,18,54,379,87.1,85,13
CENT ARK,132,9,314,6,45,314,87.1,66,15
S JOSE ST,285,8,368,8,67,368,87.1,85,10
BROWN,123,8,415,14,63,415,87.1,92,15
NEW MEX ST,242,8,215,10,38,215,87.0,52,4
LINCOK,1452,4,108,2,24,108,87.0,27,1
PITTSBURGH,268,9,289,15,44,289,87.0,67,8
OKLA STATE,262,9,411,20,79,411,87.0,103,4
BUFFALO,126,10,406,16,64,406,86.9,93,13
CITADEL,139,8,126,0,21,127,86.9,27,6
MONMOUTH,231,10,339,3,54,339,86.9,73,16
HAWAII,180,10,408,20,73,408,86.9,100,7
IOWA STATE,193,9,397,12,74,397,86.9,95,9
FL A&M,164,8,340,15,56,340,86.9,80,9
IDAHO,185,9,304,11,51,304,86.8,71,9
PSTEAG,1476,1,38,0,8,38,86.8,9,1
S DAK ST,292,10,295,10,50,295,86.8,69,9
DELWARE ST,152,8,212,9,33,212,86.8,49,7
BLMSBG,766,1,15,0,2,15,86.7,3,1
PENN STATE,266,9,343,9,66,343,86.7,83,8
N ARIZONA,252,9,406,10,90,406,86.7,104,4
S ILLINOIS,295,9,358,12,58,358,86.6,83,13
STF AUSTIN,301,9,329,5,61,329,86.6,77,11
MURRAY ST,236,9,285,16,39,285,86.5,66,11
CHADST,809,1,37,0,10,37,86.5,10,0
NAVY,237,9,122,7,20,122,86.5,30,3
NC CENT,247,8,267,4,50,267,86.5,63,9
S CAROLINA,289,9,317,10,58,317,86.4,77,9
YNGTOWN ST,353,9,269,8,45,269,86.4,63,10
AUBURN,115,9,330,3,61,330,86.4,77,13
DAYTON,150,8,257,8,36,257,86.4,57,13
UTAHTC,1285,9,438,23,71,438,86.3,107,13
PORTLAND,269,9,293,5,50,294,86.2,68,13
UNLV,325,9,323,12,63,323,86.2,82,7
NICHOLLS,243,8,318,19,59,318,86.2,83,5
ARKAPB,112,8,285,15,42,285,86.1,68,11
CENT CT ST,133,8,269,9,50,269,86.1,67,8
CHARLOTTE,136,10,404,8,73,404,86.0,97,16
ALAB A&M,104,8,304,12,51,304,86.0,74,11
STNY BROOK,303,8,255,7,40,255,85.7,60,13
SE LA,294,8,277,3,48,277,85.7,65,14
FIU,166,9,402,19,80,402,85.7,107,8
N ALABAMA,389,9,301,10,56,301,85.7,76,10
TOLEDO,316,10,359,6,81,359,85.7,95,8
DAVIDSON,149,9,111,3,27,111,85.6,31,1
KANSAS ST,199,9,274,7,56,274,85.6,71,8
MORGAN ST,235,8,253,4,47,253,85.6,62,11
LAMAR,204,7,267,11,54,267,85.6,71,6
NORFOLK,244,8,241,11,37,241,85.5,59,11
NWSTATE,257,8,418,18,69,418,85.5,104,17
INDIANA ST,191,9,296,7,51,296,85.5,72,14
VILLANOVA,334,9,249,9,47,249,85.5,64,8
BOWL GREEN,122,10,401,15,68,401,85.4,100,17
ALBANY,106,9,370,10,65,370,85.3,92,17
MARS HILL,383,1,54,1,15,54,85.2,16,0
BUCKNELL,125,8,271,16,47,271,85.1,72,9
N GREENVLE,390,1,37,5,4,37,85.1,10,1
ABILENE CH,100,9,369,10,77,369,85.0,99,12
