player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Joe Thuney,10712,G,KC,15,100.0,0,16,81.0,82.5,75.0,6,19,623,100.0,100.0,98.0,1,25,0,1050,1,893,156,1050,664,664,0,0,386,0
Creed Humphrey,59996,C,KC,15,100.0,0,16,93.4,90.1,91.8,2,5,623,100.0,100.0,99.4,1,7,0,1050,1049,1,0,1050,664,664,0,0,386,0
Trey Smith,62960,G,KC,15,100.0,2,16,77.6,68.9,80.2,5,21,623,100.0,100.0,97.9,9,26,0,1050,0,0,0,1050,664,664,1050,0,386,0
Joel Bitonio,8670,G,CLV,15,100.0,0,8,63.1,68.0,59.2,4,23,677,100.0,100.0,97.6,7,30,3,1040,0,1013,27,1040,723,723,0,0,317,0
Jawaan Taylor,41665,T,KC,15,100.0,2,16,62.7,73.1,58.0,6,24,613,100.0,100.0,96.4,13,37,7,1030,0,0,0,1030,654,654,0,1027,376,3
Terence Steele,39461,T,DAL,15,100.0,0,9,66.1,57.9,76.6,6,21,618,100.0,100.0,96.4,6,36,9,1028,0,0,0,1028,672,672,0,1028,356,0
Sam Cosmi,60114,G,WAS,15,100.0,1,32,66.1,72.6,63.4,4,17,566,100.0,100.0,98.0,7,22,1,1016,0,0,0,1016,605,605,1016,0,411,0
Greg Van Roten,7746,G,NYG,15,100.0,0,21,67.5,65.4,67.2,4,22,617,100.0,100.0,96.8,4,33,7,1012,29,0,1,1012,672,672,982,0,340,0
Aaron Brewer,46014,C,MIA,15,100.0,2,17,73.7,70.8,73.3,1,9,583,100.0,100.0,98.8,7,12,2,1009,1009,0,0,1009,623,623,0,0,386,0
Penei Sewell,81788,T,DET,15,99.9,1,11,87.7,74.2,90.6,4,20,525,99.8,99.8,97.7,4,24,0,1005,0,0,0,1006,543,544,0,1005,462,0
Nick Allegretti,39268,G,WAS,15,100.0,1,32,61.4,58.0,62.8,1,30,562,100.0,100.0,96.7,6,34,3,1005,0,1005,0,1005,601,601,0,0,404,0
Cam Jurgens,84014,C,PHI,15,100.0,2,24,66.3,55.2,68.0,1,20,468,100.0,100.0,96.9,6,25,4,1002,1002,0,0,1002,496,496,0,0,506,0
Coleman Shelton,39316,C,CHI,15,100.0,0,6,68.8,69.6,70.0,3,18,606,100.0,100.0,97.8,4,24,3,998,998,0,0,998,663,663,0,0,335,0
Ben Bredeson,27305,G,TB,15,100.0,0,30,55.7,59.3,53.5,3,24,580,100.0,100.0,97.3,5,29,2,993,0,992,0,993,617,617,0,0,376,1
Cody Mauch,66637,G,TB,15,100.0,0,30,75.1,76.8,69.5,1,12,580,100.0,100.0,98.5,2,15,2,993,0,0,0,993,617,617,992,0,376,1
Laken Tomlinson,9461,G,SEA,15,100.0,2,29,61.8,64.9,59.7,6,22,613,100.0,100.0,96.7,5,34,6,987,0,987,0,987,666,666,0,0,321,0
Charles Cross,98401,T,SEA,15,100.0,2,29,83.3,83.2,76.4,4,32,613,100.0,100.0,96.1,7,42,6,987,0,0,985,987,666,666,0,2,321,0
John Michael Schmitz Jr.,55238,C,NYG,15,100.0,0,21,61.4,50.2,67.0,5,17,593,100.0,100.0,97.1,5,28,6,983,983,0,0,983,646,646,0,0,337,0
Dan Moore Jr.,60120,T,PIT,15,100.0,1,25,70.2,69.2,64.7,3,21,496,100.0,100.0,96.0,5,32,8,982,0,0,981,982,530,530,0,0,452,1
