player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jay Amburgey,98250,T,OHIO,3,100.0,0,259,70.3,74.8,64.8,1,3,106,100.0,100.0,98.1,1,4,0,224,0,0,224,224,112,112,0,0,112,0
Kurt Danneker,77443,G,OHIO,3,100.0,0,259,68.6,87.9,63.3,0,1,106,100.0,100.0,99.5,0,1,0,224,0,224,0,224,112,112,0,0,112,0
Parker Titsworth,97656,C,OHIO,3,100.0,0,259,65.3,67.2,62.6,1,3,106,100.0,100.0,98.1,1,4,0,224,224,0,0,224,112,112,0,0,112,0
Venly Tatafu,158830,G,UTSA,3,100.0,0,331,56.5,76.3,51.9,0,1,113,100.0,100.0,98.7,2,2,1,217,0,217,0,217,120,120,0,0,97,0
Eliki Tanuvasa,79663,C,HAWAII,3,100.0,0,180,61.8,64.6,58.2,1,5,151,100.0,100.0,98.0,0,6,0,216,216,0,0,216,158,158,0,0,58,0
Ka'ena Decambra,146066,T,HAWAII,3,100.0,0,180,57.9,67.1,45.8,1,9,151,100.0,100.0,96.0,0,11,1,216,0,0,3,216,158,158,23,190,58,0
Sergio Muasau,86114,G,HAWAII,3,100.0,0,180,51.4,51.8,48.7,1,4,151,100.0,100.0,97.0,1,7,2,216,0,216,0,216,158,158,0,0,58,0
Ernesto Almaraz,90765,C,UTSA,3,100.0,1,331,51.2,65.7,48.5,0,4,113,100.0,100.0,98.2,3,4,0,215,165,0,0,215,120,120,0,50,95,0
Joshua Atkins,144243,T,HAWAII,3,100.0,0,180,59.0,58.7,63.8,3,3,149,100.0,100.0,97.3,4,7,1,213,0,0,213,213,156,156,0,0,57,0
Christophe Atkinson,98064,G,OHIO,3,100.0,1,259,61.3,71.6,57.6,0,1,101,100.0,100.0,98.5,2,2,1,213,0,0,0,213,107,107,213,0,106,0
Walker Baty,123299,T,UTSA,3,100.0,0,331,54.9,42.7,60.8,1,5,110,100.0,100.0,95.5,1,8,2,212,0,0,212,212,117,117,0,0,95,0
Zuri Henry,81907,T,UTEP,3,100.0,0,330,67.4,78.0,65.8,0,1,79,100.0,100.0,99.4,3,1,0,211,0,0,16,211,87,87,0,195,124,0
Justin Mayers,100808,G,UTEP,3,100.0,0,330,76.1,83.7,73.9,0,2,79,100.0,100.0,98.7,1,2,0,211,0,211,0,211,87,87,0,0,124,0
Brock Robey,163975,G,JVILLE ST,3,100.0,0,196,66.1,68.9,66.3,0,1,74,100.0,100.0,98.0,1,2,1,208,2,0,0,208,81,81,206,0,127,0
Christian Jones,146145,T,S DIEGO ST,3,100.0,0,284,62.7,70.6,59.5,1,6,100,100.0,100.0,94.5,1,9,2,206,0,0,206,206,105,105,0,0,101,0
