player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,15,167,0,18,12.5,3,63.0,57.1,8,14,2.9,1,24,0,71.4,89.8,1,47,0.0,0,216,34,90.7,196,108.7,54,32.3,2,642,239,7.0,18.9,3.28,0,10.1,6,81.1,57.9,11,19,5.2,4,47,0,81.5,90.9,3,64,0.0,0,350,73,95.1,333,109.0,90,53.9,3,975,340,4.7,13.4,2.93
Tyreek Hill,10799,WR,MIA,15,155,0,17,11.3,3,73.1,37.5,3,8,0.0,0,13,1,83.2,90.6,1,26,0.0,0,77,19,93.5,72,109.1,26,16.8,2,228,59,3.1,12.0,3.17,0,12.7,5,73.4,61.5,8,13,4.8,4,50,0,79.8,92.0,4,64,0.0,0,313,80,94.6,296,107.9,109,70.3,5,1169,331,4.1,14.6,3.95
Davante Adams,8688,WR,LV,15,149,0,23,11.5,5,53.6,42.9,3,7,6.3,1,12,0,66.7,81.4,0,58,0.0,0,116,15,93.1,108,116.8,28,18.8,3,231,98,6.5,15.4,2.14,0,12.2,7,61.1,47.1,8,17,4.9,3,34,1,75.9,88.6,4,41,0.3,1,313,58,96.5,302,83.8,95,63.8,4,782,284,4.9,13.5,2.59
Stefon Diggs,9579,WR,BUF,15,139,0,4,11.8,5,60.8,40.0,4,10,13.9,5,24,0,41.2,82.7,0,41,0.0,0,183,31,91.3,167,113.6,51,36.7,4,425,185,6.0,13.7,2.54,0,10.5,9,81.4,75.0,6,8,1.7,1,34,0,89.2,85.1,0,46,0.0,0,308,57,95.5,294,116.6,70,50.4,2,679,188,3.3,11.9,2.31
Travis Kelce,7844,TE,KC,15,133,0,16,8.7,13,69.6,44.4,4,9,5.9,2,24,0,70.9,90.5,1,39,2.9,6,207,32,87.4,181,127.9,46,34.6,7,412,247,7.7,12.9,2.28,0,7.3,8,78.3,42.9,3,7,3.6,2,38,1,81.0,91.4,2,52,5.1,15,295,54,90.5,267,105.7,69,51.9,1,766,350,6.5,14.2,2.87
CeeDee Lamb,61570,WR,DAL,15,129,0,9,11.1,1,64.9,58.3,7,12,4.0,1,19,0,75.5,90.8,1,30,0.0,0,133,24,91.7,122,100.6,37,28.7,2,335,101,4.2,14.0,2.75,0,10.6,5,74.3,40.0,4,10,5.2,3,34,0,74.0,81.9,1,39,0.0,0,296,55,95.6,283,118.1,74,57.4,4,740,282,5.1,13.5,2.61
Diontae Johnson,33441,WR,PIT,15,127,0,25,10.7,1,53.7,30.0,3,10,8.3,2,17,1,62.3,71.3,2,20,0.0,0,152,22,91.4,139,47.0,41,32.3,0,202,61,2.8,9.2,1.45,0,10.9,9,68.8,80.0,4,5,7.0,4,25,0,61.2,69.2,4,37,0.0,0,378,53,94.4,357,67.6,77,60.6,0,551,127,2.4,10.4,1.54
D.K. Metcalf,47864,WR,SEA,15,126,0,29,14.1,2,56.4,35.3,6,17,0.0,0,14,0,84.9,83.0,1,54,0.0,0,120,22,89.2,107,94.4,39,31.0,2,364,100,4.5,16.5,3.4,0,9.6,1,74.6,75.0,12,16,5.7,3,23,2,72.0,71.5,0,26,0.0,0,322,50,95.7,308,100.0,67,53.2,1,494,116,2.3,9.9,1.6
Amon-Ra St. Brown,84470,WR,DET,14,125,0,11,6.5,1,71.8,50.0,4,8,3.4,1,21,0,76.7,89.9,0,49,0.0,0,128,28,91.4,117,128.9,39,31.2,4,307,132,4.7,11.0,2.62,0,6.0,7,78.6,20.0,1,5,5.2,3,31,0,74.5,82.2,1,32,0.0,0,262,55,96.2,252,96.8,70,56.0,0,607,294,5.3,11.0,2.41
Michael Pittman Jr.,29049,WR,IND,14,125,0,14,7.2,1,63.0,53.8,7,13,9.4,3,17,2,59.0,69.0,2,25,0.0,0,185,29,93.0,172,60.3,46,36.8,0,263,108,3.7,9.1,1.53,0,7.2,4,76.7,45.5,5,11,0.0,0,22,0,90.3,70.2,1,28,0.0,0,335,46,96.4,323,97.4,60,48.0,1,472,155,3.4,10.3,1.46
