player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Shaq Mason,9564,G,TB,15,0,30,73.1,8,12,694,100.0,100.0,98.4,0,21,1,738,738,71.6,5,9,311,100.0,100.0,97.4,15,1,335,335
Robert Hainsey,59980,C,TB,15,1,30,71.0,5,14,694,100.0,100.0,98.6,1,19,0,738,738,61.8,3,8,311,100.0,100.0,98.2,11,0,335,335
Matt Feiler,9289,G,LAC,15,1,27,60.5,3,29,699,100.0,100.0,97.0,4,37,5,728,728,55.2,2,20,332,100.0,100.0,96.4,23,1,346,346
Zion Johnson,99681,G,LAC,15,1,27,50.3,5,26,691,100.0,100.0,97.0,3,36,5,720,720,34.3,5,20,328,100.0,100.0,94.7,30,5,342,342
Kelvin Beachum,7229,T,ARZ,15,0,1,74.2,8,33,662,100.0,100.0,96.1,2,46,5,706,706,63.7,7,24,256,100.0,100.0,92.4,35,4,272,272
Brian O'Neill,46854,T,MIN,15,0,18,77.9,5,13,655,100.0,100.0,97.7,0,24,6,700,700,74.4,3,10,305,100.0,100.0,96.6,17,4,325,325
Ed Ingram,59819,G,MIN,15,1,18,42.0,16,28,655,100.0,100.0,95.1,2,54,10,700,700,27.6,12,23,305,100.0,100.0,91.6,43,8,325,325
Ezra Cleveland,41973,G,MIN,15,1,18,52.5,19,23,654,100.0,100.0,96.0,2,47,5,699,699,43.7,14,19,304,100.0,100.0,93.3,37,4,324,324
Orlando Brown Jr.,46227,T,KC,15,1,16,75.9,7,32,647,100.0,100.0,96.4,3,43,4,691,691,75.5,4,21,271,100.0,100.0,94.3,28,3,296,296
Creed Humphrey,59996,C,KC,15,0,16,79.1,2,14,647,100.0,100.0,98.8,3,16,0,691,691,67.9,1,11,271,100.0,100.0,97.8,12,0,296,296
Cordell Volson,30614,G,CIN,15,1,7,54.4,10,20,637,100.0,100.0,97.0,3,34,4,683,683,62.0,4,12,270,100.0,100.0,96.3,18,2,293,293
Ted Karras,10855,C,CIN,15,0,7,76.2,1,15,636,100.0,100.0,98.4,0,18,2,682,682,71.2,1,11,270,100.0,100.0,97.0,14,2,293,293
Alex Cappa,66578,G,CIN,15,0,7,72.0,4,10,636,100.0,100.0,98.4,0,17,3,682,682,69.5,2,8,270,100.0,100.0,97.0,13,3,293,293
Jonah Williams,41651,T,CIN,15,0,7,63.9,6,21,632,100.0,100.0,96.1,3,38,11,678,678,68.6,2,9,267,100.0,100.0,94.9,19,8,290,290
Andrew Wylie,12333,T,KC,15,3,16,62.8,4,32,622,100.0,100.0,95.8,8,44,8,665,665,61.0,1,20,263,100.0,100.0,93.7,27,6,288,288
Rodger Saffold,5558,G,BUF,15,2,4,48.7,4,29,624,100.0,100.0,97.0,5,35,2,661,661,35.4,3,22,277,100.0,100.0,94.8,27,2,304,304
Quenton Nelson,12954,G,IND,15,1,14,74.5,5,18,614,100.0,100.0,97.5,4,27,4,647,647,64.9,3,17,321,100.0,100.0,96.3,22,2,337,337
Laken Tomlinson,9461,G,NYJ,15,1,22,70.4,3,24,606,100.0,100.0,97.6,1,28,1,627,627,64.4,2,18,277,100.0,100.0,96.4,20,0,287,287
Connor McGovern,10778,C,NYJ,15,0,22,66.8,4,14,605,100.0,100.0,97.7,2,23,5,626,626,67.0,3,7,277,100.0,100.0,97.1,13,3,287,287
James Daniels,45576,G,PIT,15,2,25,72.1,3,16,579,100.0,100.0,98.4,5,19,0,620,620,59.2,3,13,313,100.0,100.0,97.4,16,0,328,328
Dan Moore Jr.,60120,T,PIT,15,1,25,69.5,8,20,579,100.0,100.0,96.5,4,34,6,620,620,54.2,8,16,313,100.0,100.0,94.6,29,5,328,328
Kevin Dotson,46735,G,PIT,15,1,25,76.1,4,7,579,100.0,100.0,98.4,4,15,4,620,620,73.7,3,5,313,100.0,100.0,97.4,12,4,328,328
