player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,13,10,3.6,0,0,3,58.6,76.6,87.7,72.1,70.0,33.1,9.7,3,0,148,150,7.4,11,18
Ndamukong Suh,5527,DI,PHI,5,2,1.8,0,0,24,,65.8,80.5,52.3,72.9,50.8,0.0,0,0,44,46,9.1,4,5
Tyson Alualu,5535,DI,PIT,14,1,2.6,0,0,25,60.0,29.5,32.4,57.7,28.2,40.3,10.0,1,2,122,123,4.1,5,8
Brandon Graham,5538,ED,PHI,14,2,0.7,0,0,24,72.5,90.8,70.5,89.9,79.6,55.7,14.3,2,1,117,120,7.7,9,10
Jason Pierre-Paul,5540,ED,BLT,11,1,2.3,1,0,3,66.8,55.9,54.9,53.7,60.4,70.2,7.7,1,2,140,141,5.0,7,11
Kareem Jackson,5545,S,DEN,14,17,6.8,0,0,10,62.8,65.3,72.8,56.7,69.9,57.7,17.0,9,1,341,362,2.6,9,27
Devin McCourty,5552,S,NE,14,7,11.8,0,0,19,69.1,70.7,86.7,55.5,71.2,86.6,8.0,2,0,338,342,0.6,2,16
Jerry Hughes,5556,ED,HST,14,5,1.6,2,0,13,68.1,72.4,58.8,71.4,59.6,25.9,31.8,7,3,264,264,2.3,6,10
Linval Joseph,5571,DI,PHI,5,6,3.7,0,0,24,60.0,47.4,34.1,61.4,47.8,31.8,18.2,2,1,70,72,2.9,2,3
Carlos Dunlap,5579,ED,KC,14,6,2.8,0,0,16,55.9,67.3,89.6,59.3,74.8,59.7,4.0,1,1,131,136,10.7,14,18
Corey Peters,5607,DI,JAX,9,3,1.2,0,0,15,62.8,58.3,84.0,57.2,55.0,74.1,0.0,0,0,91,92,4.4,4,6
Al Woods,5646,DI,SEA,12,9,1.9,0,0,29,60.5,71.8,64.5,68.6,68.7,57.9,8.3,3,1,191,194,8.9,17,24
Von Miller,6154,ED,BUF,11,1,1.9,0,0,4,74.2,85.8,26.0,81.8,78.8,53.2,15.4,2,4,134,135,7.5,10,10
Patrick Peterson,6157,CB,MIN,14,1,9.0,0,0,18,83.1,81.0,65.6,60.0,64.1,74.4,10.0,1,3,344,350,1.5,5,8
J.J. Watt,6163,DI,ARZ,13,2,0.2,0,0,1,64.0,66.6,32.8,71.3,57.5,45.2,12.5,2,6,198,203,5.6,11,12
Robert Quinn,6166,ED,PHI,12,2,2.4,2,0,24,65.8,41.2,28.0,55.6,34.8,55.0,10.0,1,4,147,150,1.4,2,7
Cameron Jordan,6176,ED,NO,13,12,1.3,0,0,20,85.1,70.8,68.5,53.1,74.5,42.8,14.6,6,2,230,240,7.4,17,23
Cameron Heyward,6183,DI,PIT,14,12,2.9,0,0,25,68.4,89.9,86.8,76.6,79.7,75.4,0.0,0,1,246,252,10.2,25,31
Justin Houston,6222,ED,BLT,11,1,1.0,0,0,3,76.5,76.6,46.3,72.2,70.7,51.1,16.7,1,2,56,59,7.1,4,4
Lawrence Guy,6385,DI,NE,11,17,2.4,0,0,19,62.9,54.5,85.8,54.8,52.4,69.7,2.5,1,0,203,206,7.9,16,22
Chris Harris Jr.,6457,CB,NO,8,2,6.1,0,0,20,47.6,49.9,36.2,68.5,59.5,56.6,0.0,0,4,120,123,1.7,2,7
Josh Bynes,6503,LB,BLT,7,1,4.2,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,12.5,2,0,121,122,5.0,6,13
Nick Bellore,6515,FB,SEA,3,1,,0,0,29,60.0,80.8,65.9,60.0,74.9,71.7,0.0,0,0,8,8,0.0,0,0
Mario Addison,6558,ED,HST,10,5,2.2,0,1,13,64.1,60.5,88.1,60.7,53.6,66.6,8.3,1,0,123,127,4.1,5,6
Stephon Gilmore,7016,CB,IND,14,1,9.7,0,0,14,79.8,78.4,65.7,,67.9,71.4,13.3,2,4,389,401,0.5,2,12
Fletcher Cox,7018,DI,PHI,14,8,3.0,0,0,24,,55.0,75.2,61.2,48.0,46.8,10.0,3,1,207,210,5.8,12,19
Michael Brockers,7020,DI,DET,6,0,2.3,0,0,11,,51.3,81.3,55.2,50.4,37.2,0.0,0,0,62,62,4.8,3,4
Bruce Irvin,7021,ED,SEA,8,5,2.3,0,0,29,66.7,62.2,43.4,52.9,70.2,48.5,9.5,2,2,171,173,5.8,10,14
Melvin Ingram III,7024,ED,MIA,14,2,1.4,1,0,17,45.3,70.3,7.3,80.8,64.9,29.2,22.2,2,6,112,116,3.6,4,5
Chandler Jones,7027,ED,LV,14,8,2.2,1,1,23,54.2,64.3,68.4,61.2,67.2,35.0,21.2,7,2,261,263,4.6,12,18
Janoris Jenkins,7043,CB,SF,1,0,,0,0,28,45.7,46.6,72.8,,60.0,27.1,,0,0,2,2,0.0,0,0
Bobby Wagner,7050,LB,LA,14,30,2.8,0,0,26,79.0,90.5,87.0,74.4,90.8,91.0,2.7,2,1,346,358,7.2,25,42
Lavonte David,7060,LB,TB,14,15,3.2,0,0,30,83.6,82.4,63.4,71.6,73.9,70.0,10.0,5,2,350,359,6.3,22,30
Vinny Curry,7061,ED,NYJ,9,4,3.1,0,0,22,60.0,51.2,52.6,56.8,50.6,38.1,21.4,3,1,71,75,7.0,5,7
Casey Hayward Jr.,7064,CB,ATL,6,0,24.0,0,0,2,65.6,64.7,83.4,,55.2,33.7,25.0,1,0,115,119,0.9,1,3
Demario Davis,7079,LB,NO,14,19,4.2,0,0,20,78.5,78.3,68.5,85.5,65.7,51.5,14.3,9,1,377,391,5.3,20,35
Akiem Hicks,7090,DI,TB,8,4,2.4,0,0,30,59.5,57.9,42.0,55.2,63.8,42.4,11.8,2,2,123,126,8.1,10,11
Rodney McLeod,7271,S,IND,14,11,5.6,0,0,14,78.7,74.4,82.6,61.9,61.7,73.6,5.4,2,2,350,362,3.7,13,24
Michael Thomas,7279,S,CIN,2,0,7.0,0,0,7,64.3,58.6,73.9,57.6,51.0,80.6,0.0,0,0,9,9,0.0,0,1
Tashaun Gipson Sr.,7288,S,SF,14,7,8.3,0,0,28,62.6,69.5,89.0,61.8,87.2,91.6,0.0,0,0,271,277,0.7,2,12
Brandon Bolden,7469,HB,LV,1,0,,0,0,23,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Harrison Smith,7641,S,MIN,12,5,9.8,1,0,18,65.6,65.9,88.5,56.0,63.5,78.1,17.9,5,1,280,284,1.1,3,18
Justin Bethel,7654,CB,MIA,5,0,5.5,0,0,17,52.9,51.4,79.5,,47.6,57.3,33.3,2,1,19,22,0.0,0,4
Xavier Rhodes,7806,CB,BUF,2,0,6.0,0,0,4,52.7,51.1,78.7,,44.8,37.6,50.0,1,0,22,22,0.0,0,1
Darius Slay,7817,CB,PHI,14,3,13.6,0,0,24,79.4,75.5,86.6,,48.2,65.4,12.5,2,2,288,294,1.0,3,11
Johnathan Hankins,7830,DI,DAL,10,5,2.2,1,0,9,60.0,46.0,57.3,50.8,49.1,33.4,10.0,2,1,124,128,7.3,9,13
Jon Bostic,7831,LB,WAS,9,4,4.1,0,0,32,53.4,49.4,81.3,50.6,49.8,64.6,6.3,1,0,110,113,5.5,6,11
Jamie Collins Sr.,7833,LB,NE,3,1,,0,0,19,50.1,64.2,77.7,56.1,71.1,70.5,0.0,0,0,27,28,0.0,0,0
Tyrann Mathieu,7850,S,NO,14,11,10.4,0,0,20,82.8,78.2,86.1,72.2,61.6,61.2,12.5,5,2,376,389,1.9,7,24
John Jenkins,7863,DI,MIA,13,5,1.6,0,0,17,59.8,58.0,82.1,62.5,53.2,76.3,0.0,0,0,95,98,7.4,7,9
Logan Ryan,7864,S,TB,7,2,11.1,0,1,30,59.5,65.0,84.2,54.2,78.0,90.4,0.0,0,0,112,115,2.7,3,9
Duron Harmon,7872,S,LV,14,9,9.2,0,1,23,78.1,73.0,87.3,56.5,57.4,67.4,24.0,6,0,333,336,0.3,1,10
Brandon Williams,7875,DI,KC,2,0,,0,0,16,59.2,62.1,77.0,62.1,60.0,68.7,,0,0,8,8,0.0,0,0
Akeem Spence,7882,DI,SF,6,3,6.0,0,0,28,59.5,39.8,81.2,46.9,42.6,29.1,28.6,2,0,58,59,1.7,1,2
William Gholston,7908,DI,TB,14,12,1.8,0,0,30,63.3,57.0,68.1,56.3,56.4,63.0,5.9,2,1,207,213,8.2,17,20
Oday Aboushi,7923,G,LA,1,0,,1,0,26,,60.0,60.0,,60.0,,,0,1,0,1,,0,0
Steven Means,7929,ED,BLT,2,0,22.0,0,0,3,60.0,75.7,75.6,65.1,73.2,72.4,0.0,0,0,9,10,0.0,0,1
A.J. Klein,7930,LB,BUF,3,2,1.3,0,0,4,50.0,47.5,78.0,60.7,50.2,49.7,25.0,2,0,35,37,11.4,4,4
Micah Hyde,7941,S,BUF,2,0,4.0,0,0,4,69.1,68.4,81.7,59.1,52.5,63.0,50.0,1,0,30,30,3.3,1,1
Jordan Poyer,8000,S,BUF,10,6,9.3,0,0,4,74.2,71.5,84.6,56.1,59.4,57.0,19.2,5,0,212,216,1.4,3,15
Nick Williams,8006,DI,NYG,8,8,2.7,0,0,21,60.0,59.9,83.7,52.7,63.2,76.8,5.0,1,0,100,104,6.0,6,11
Tony Jefferson,8361,S,NYG,4,1,8.0,0,0,21,81.0,70.8,79.0,46.1,47.6,84.3,0.0,0,0,14,15,0.0,0,1
Brandon Copeland,8378,ED,BLT,3,3,6.0,0,0,3,61.7,53.7,78.6,53.4,55.7,75.2,0.0,0,0,17,17,5.9,1,1
Chris Banjo,8419,S,ARZ,8,2,11.5,0,0,1,56.0,64.9,75.5,58.7,75.3,83.0,0.0,0,0,39,41,2.6,1,2
Nickell Robey-Coleman,8483,CB,LV,1,0,,0,0,23,67.8,64.2,72.8,52.4,60.0,,,0,0,3,3,0.0,0,0
Mike Purcell,8530,DI,DEN,14,14,2.4,0,0,10,60.2,68.4,70.4,60.9,68.4,36.4,12.8,6,1,218,233,8.7,19,27
