player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tom Brady,698,QB,TB,10,2.28,2.25,3.02,5.1,442,30,80.8,265,274,5.0,1.84,1,10,3.5,74.8,205,28,4.2,278,62.9,9,89,,,,79.5,73.0,84.6,71.7,,,,,1,2,290,14.3,100.0,1.4,4,0,0,7,10,5,1.7,1737,6.3,64.2,134,150,12.8,3.07,4,12,7.4,51.3,77,53,10.5,162,36.7,9,51,,,,89.1,82.5,82.7,80.8,,,59.2,,0,0,177,18.9,79.0,6.2,10,2,0,12,2,5,2.8,1068,7.1
Justin Herbert,28237,QB,LAC,9,2.78,2.67,3.88,4.89,413,27,81.2,154,161,4.3,2.0,4,3,1.8,73.3,118,36,5.6,162,39.2,7,57,,,,88.7,73.2,82.5,72.0,,,,,0,2,167,2.8,105.2,0.6,1,0,0,3,11,2,1.2,944,5.9,75.3,194,225,8.7,3.29,10,9,3.8,60.4,136,104,6.8,250,60.5,10,64,,,,77.1,73.7,84.2,72.7,,,62.3,,10,4,263,10.6,77.4,4.4,11,14,0,11,3,4,1.5,1506,6.7
Patrick Mahomes,11765,QB,KC,9,2.79,2.61,3.1,5.38,410,16,82.1,195,200,4.4,1.78,1,3,1.5,75.0,150,29,6.3,200,48.8,10,83,,,,72.5,71.7,83.3,70.5,,,,,1,3,204,0.0,107.8,0.0,0,0,0,3,12,5,2.5,1414,7.1,75.4,138,166,12.2,3.79,4,16,8.2,57.2,95,116,8.7,208,50.7,9,85,,,,90.3,93.8,83.8,91.8,,,86.3,,4,4,237,13.8,104.0,7.7,16,26,0,20,13,6,2.5,1522,9.2
Kyler Murray,38334,QB,ARZ,9,2.58,2.37,3.64,5.2,404,1,82.9,217,222,4.5,1.76,4,4,1.7,75.7,168,25,6.7,228,56.4,12,68,,,,75.5,77.2,83.9,75.7,,,,,0,1,242,24.0,101.4,2.6,6,0,0,1,9,2,0.8,1309,5.9,66.4,113,135,11.8,3.69,5,4,2.8,53.3,72,85,4.0,174,43.1,3,48,,,,27.9,50.3,83.0,46.6,,,70.9,,2,5,190,21.2,64.9,10.3,18,21,0,15,3,14,7.4,854,6.3
Josh Allen,46601,QB,BUF,9,2.79,2.61,3.43,4.36,393,4,85.2,162,177,4.0,1.79,10,5,2.8,73.4,130,23,5.8,180,45.8,8,65,,,,50.3,83.0,82.8,81.0,,,,,0,1,183,13.0,108.4,1.7,3,0,0,5,11,4,2.2,1138,6.4,64.4,149,163,15.0,3.65,2,19,11.0,55.2,90,108,6.3,212,53.9,6,90,,,,90.1,87.5,39.8,71.2,,,96.0,,2,9,223,13.9,84.3,7.1,15,34,0,10,9,15,6.7,1595,9.8
Kirk Cousins,7102,QB,MIN,9,2.71,2.62,3.08,5.38,380,18,77.0,139,151,4.9,1.97,6,4,2.5,66.2,100,42,6.5,155,40.8,7,43,,,,88.5,65.3,82.4,64.6,,,,,3,2,164,9.5,88.7,2.6,4,0,0,3,6,4,2.4,858,5.7,77.5,173,201,9.5,3.21,1,10,4.6,63.2,127,95,5.2,225,59.2,7,80,,,,60.3,76.7,83.9,74.1,,,72.8,,6,6,242,16.8,86.6,7.1,16,8,0,21,8,9,3.7,1497,7.4
Trevor Lawrence,77632,QB,JAX,10,2.5,2.38,3.32,5.12,378,15,85.4,198,204,4.2,1.8,5,3,1.4,75.5,154,28,8.9,205,54.2,15,67,,,,90.1,69.5,83.4,68.5,,,,,0,2,213,3.6,99.8,0.5,1,0,0,1,8,2,0.9,1262,6.2,62.7,126,142,14.1,3.38,4,10,6.5,51.4,73,76,7.6,171,45.2,6,61,,,,26.2,61.3,82.9,58.7,,,74.0,,2,4,187,21.1,76.6,9.4,16,13,0,10,5,10,5.3,1078,7.6
Joe Burrow,28022,QB,CIN,9,2.46,2.36,2.99,4.14,377,7,81.1,206,218,6.0,1.88,7,7,3.1,72.9,159,33,4.8,226,59.9,8,79,,,,58.9,82.0,83.8,80.1,,,,,1,3,237,24.2,104.8,3.5,8,0,0,4,11,3,1.3,1612,7.4,76.2,101,115,10.4,3.35,5,6,4.8,64.3,74,65,3.9,150,39.8,3,45,,,,67.5,72.9,82.4,69.9,,,72.3,,4,3,163,33.8,98.6,14.7,22,13,0,5,7,7,4.3,923,8.0
Aaron Rodgers,2241,QB,GB,10,2.56,2.44,3.55,5.57,364,12,81.2,191,196,4.7,1.64,3,6,3.0,73.5,144,15,7.1,198,54.4,11,62,,,,90.0,78.5,83.3,76.9,,,,,0,4,205,13.3,98.6,1.0,2,0,0,2,9,2,1.0,1340,6.8,68.1,119,140,13.3,3.67,1,16,10.3,53.6,75,83,7.4,165,45.3,6,45,,,,49.6,74.6,82.8,72.0,,,73.3,,3,3,183,21.7,85.9,10.9,18,7,0,17,8,6,3.3,975,7.0
Geno Smith,7820,QB,SEA,10,2.78,2.57,3.7,5.24,358,29,82.1,162,165,6.3,1.97,2,6,3.4,78.8,130,37,2.3,169,47.2,3,60,,,,89.3,78.0,82.8,76.3,,,,,0,2,181,10.8,100.3,2.4,4,0,0,1,4,6,3.3,1210,7.3,74.6,138,151,10.0,3.5,2,15,9.0,66.2,100,82,2.9,189,52.8,3,67,,,,72.2,87.4,39.2,81.7,,,88.0,,0,2,206,24.4,115.4,10.6,20,18,0,11,13,7,3.4,1265,8.4
