team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,10,443,17,48,443,90.9,73,8
CAR,5,11,360,7,47,360,89.4,65,11
BLT,3,10,333,5,42,333,89.3,59,12
JAX,15,10,379,13,49,379,88.9,73,11
PHI,24,10,347,6,59,347,88.9,71,6
SF,28,10,334,12,49,334,88.8,68,7
GB,12,11,412,10,59,412,88.5,82,13
NO,20,11,402,16,54,402,87.8,84,14
PIT,25,10,416,16,66,416,87.0,95,13
DAL,9,10,333,21,55,333,86.8,82,6
ATL,2,11,299,12,44,299,86.6,68,12
MIA,17,10,384,21,68,384,86.3,97,8
CIN,7,10,425,21,56,425,86.2,97,20
BUF,4,10,430,14,88,430,86.0,111,9
LAC,27,10,455,24,84,455,85.9,118,10
CLV,8,10,370,18,61,370,85.5,93,14
KC,16,10,451,19,92,451,85.5,121,10
DEN,10,10,396,16,66,396,85.4,99,17
SEA,29,10,359,20,56,359,85.0,92,16
DET,11,10,352,19,68,352,84.8,97,10
ARZ,1,11,501,14,103,501,84.7,135,18
LV,23,10,392,21,80,392,84.1,113,12
NYJ,22,10,384,14,83,384,84.0,110,13
NE,19,10,337,8,58,337,84.0,87,21
IND,14,11,462,23,80,462,83.9,126,23
NYG,21,10,354,16,69,354,83.5,101,16
MIN,18,10,419,36,68,419,82.6,125,21
CHI,6,11,326,10,74,326,82.5,99,15
HST,13,10,367,24,74,367,82.0,115,17
TEN,31,10,276,20,58,276,81.5,90,12
WAS,32,11,432,28,88,432,81.2,139,23
LA,26,10,394,32,73,394,79.8,132,27
