player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Cobie Durant,79126,S,LA,1,0,26,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,6.7,1,15,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tashaun Gipson Sr.,7288,S,SF,5,0,28,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,201,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Antonio Hamilton,11353,CB,ARZ,1,0,1,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,7.7,1,13,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Da'Shawn Hand,48386,DI,TEN,1,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dane Jackson,32989,CB,BUF,4,0,4,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.7,1,137,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Damar Hamlin,43291,S,BUF,5,0,4,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,1.9,2,108,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Demetrius Flannigan-Fowles,49231,LB,SF,3,0,28,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,13.3,2,15,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Emmanuel Moseley,50430,CB,SF,5,0,28,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,0.5,1,190,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
William Jackson III,10658,CB,WAS,4,0,32,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,1.7,2,119,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Oren Burks,50203,LB,SF,1,0,28,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,14.3,2,14,1,50.0,0,0,0,0,50.0,1,1,100.0,1,0,0,1,0,0
Jamal Adams,11761,S,SEA,1,0,29,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,11.1,1,9,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Keion Crossen,49454,CB,MIA,4,0,17,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.9,1,54,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
