player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kelvin Beachum,7229,T,ARZ,11,0,1,73.5,4,25,494,100.0,100.0,96.3,2,33,4,529,529,65.5,4,17,194,100.0,100.0,93.0,24,3,207,207
Braden Smith,46794,T,IND,11,1,14,76.0,6,10,462,100.0,100.0,97.4,4,20,4,490,490,75.7,3,8,230,100.0,100.0,96.7,13,2,245,245
Quenton Nelson,12954,G,IND,11,1,14,73.3,1,14,462,100.0,100.0,97.9,4,17,2,490,490,59.0,1,14,230,100.0,100.0,95.9,17,2,245,245
Joe Thuney,10712,G,KC,10,0,16,84.6,4,9,450,100.0,100.0,98.3,0,14,1,486,486,76.4,2,8,193,100.0,100.0,96.9,11,1,213,213
Orlando Brown Jr.,46227,T,KC,10,1,16,68.0,5,28,449,100.0,100.0,95.9,1,35,2,485,485,69.7,2,19,193,100.0,100.0,93.5,23,2,213,213
Creed Humphrey,59996,C,KC,10,0,16,77.6,2,11,449,100.0,100.0,98.6,3,13,0,485,485,64.5,1,9,193,100.0,100.0,97.4,10,0,213,213
Matt Feiler,9289,G,LAC,10,0,27,51.4,2,22,455,100.0,100.0,96.9,1,26,2,473,473,45.7,1,16,229,100.0,100.0,95.9,18,1,239,239
Shaq Mason,9564,G,TB,10,0,30,75.6,4,5,443,100.0,100.0,99.0,0,9,0,473,473,75.4,2,4,197,100.0,100.0,98.5,6,0,214,214
Tristan Wirfs,64818,T,TB,10,0,30,89.9,1,2,443,100.0,100.0,99.7,1,3,0,473,473,90.0,0,1,197,100.0,100.0,99.7,1,0,214,214
Zion Johnson,99681,G,LAC,10,0,27,44.7,4,18,455,100.0,100.0,96.9,1,25,3,473,473,27.8,4,15,229,100.0,100.0,94.5,22,3,239,239
Robert Hainsey,59980,C,TB,10,1,30,63.9,3,12,443,100.0,100.0,98.3,1,15,0,473,473,52.7,2,7,197,100.0,100.0,97.7,9,0,214,214
Charles Leno Jr.,8880,T,WAS,11,0,32,83.3,5,14,432,100.0,100.0,96.6,0,24,5,461,461,75.4,3,12,189,100.0,100.0,93.4,20,5,205,205
Andrew Wylie,12333,T,KC,10,3,16,56.1,4,22,424,100.0,100.0,95.5,7,32,6,459,459,57.5,1,16,185,100.0,100.0,93.2,21,4,205,205
Andrew Norwell,9126,G,WAS,11,1,32,54.8,3,14,430,100.0,100.0,97.1,3,21,4,459,459,45.3,1,10,187,100.0,100.0,94.9,15,4,203,203
Kevin Dotson,46735,G,PIT,10,1,25,72.4,3,4,416,100.0,100.0,98.2,4,11,4,453,453,70.1,2,3,230,100.0,100.0,97.2,9,4,244,244
James Daniels,45576,G,PIT,10,1,25,75.4,3,10,416,100.0,100.0,98.4,4,13,0,453,453,67.3,3,8,230,100.0,100.0,97.6,11,0,244,244
Chukwuma Okorafor,46302,T,PIT,10,1,25,63.0,2,23,416,100.0,100.0,96.5,4,27,2,453,453,58.2,2,19,230,100.0,100.0,95.0,22,1,244,244
Dan Moore Jr.,60120,T,PIT,10,0,25,64.7,7,16,416,100.0,100.0,96.0,3,28,5,453,453,48.9,7,14,230,100.0,100.0,93.3,26,5,244,244
