player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.838
"McIlroy, Rory",PGA TOUR,2,1,3,0,2.377
"Rahm, Jon",PGA TOUR,3,-1,2,0,2.337
"Cantlay, Patrick",PGA TOUR,4,1,4,0,2.243
"Schauffele, Xander",PGA TOUR,5,-1,6,0,2.212
"Hovland, Viktor",PGA TOUR,6,0,5,0,1.834
"Hatton, Tyrrell",PGA TOUR,7,0,15,0,1.827
"Clark, Wyndham",PGA TOUR,8,0,11,2,1.685
"Smith, Cameron",LIV Tour,9,0,7,0,1.665
"Fowler, Rickie",PGA TOUR,10,2,35,0,1.66
"Morikawa, Collin",PGA TOUR,11,0,20,-1,1.558
"Finau, Tony",PGA TOUR,12,-2,14,0,1.53
"Fleetwood, Tommy",PGA TOUR,13,0,21,-1,1.49
"McCarthy, Denny",PGA TOUR,14,4,33,0,1.467
"Henley, Russell",PGA TOUR,15,1,32,-2,1.467
"Koepka, Brooks",LIV Tour,16,-1,12,0,1.406
"Fitzpatrick, Matthew",PGA TOUR,17,-3,8,0,1.384
"Spieth, Jordan",PGA TOUR,18,-1,10,0,1.383
"Matsuyama, Hideki",PGA TOUR,19,4,26,1,1.354
"Bradley, Keegan",PGA TOUR,20,10,18,10,1.326
"Rose, Justin",PGA TOUR,21,-2,31,-2,1.308
"Homa, Max",PGA TOUR,22,-2,9,0,1.28
"Johnson, Dustin",LIV Tour,23,-2,72,-2,1.277
"Im, Sungjae",PGA TOUR,24,-2,22,-1,1.266
"Conners, Corey",PGA TOUR,25,6,29,2,1.159
"Pereira, Mito",LIV Tour,26,-1,58,0,1.122
"Day, Jason",PGA TOUR,27,-3,25,-1,1.12
"Thomas, Justin",PGA TOUR,28,9,17,1,1.113
"Burns, Sam",PGA TOUR,29,-2,16,0,1.11
"Scott, Adam",PGA TOUR,30,2,39,0,1.083
"Lowry, Shane",PGA TOUR,31,3,28,-2,1.056
"Zalatoris, Will",PGA TOUR,32,-4,13,-2,1.053
"Kim, Tom",PGA TOUR,33,0,24,-2,0.986
"Kim, Si Woo",PGA TOUR,34,-8,34,-2,0.974
"Niemann, Joaquin",LIV Tour,35,1,38,-1,0.935
"Cole, Eric",PGA TOUR,36,5,73,8,0.924
"Young, Cameron",PGA TOUR,37,-8,19,-2,0.918
"Lee, Min Woo",PGA TOUR,38,11,46,3,0.916
"Varner III, Harold",LIV Tour,39,-1,74,-2,0.9
"Harman, Brian",PGA TOUR,40,20,27,13,0.89
"Theegala, Sahith",PGA TOUR,41,-6,30,-5,0.881
"Reed, Patrick",LIV Tour,42,-3,47,0,0.857
"Putnam, Andrew",PGA TOUR,43,-3,60,1,0.844
"Taylor, Nick",PGA TOUR,44,-2,45,0,0.833
