player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Sam Howell,97599,QB,WAS,12,569,78.6,140,155,8.0,2.63,6,9,5.5,63.9,99,79,10.0,181,31.8,11,56,,,,,89.8,64.9,83.0,63.3,,,69.3,0,4,192,25.3,88.6,11.0,20,6,0,9,6,7,3.6,1158,7.5,0,32,74.9,64.9,61.9,75.2,76.5,306,331,7.7,2.89,6,15,4.3,67.7,224,141,4.3,388,68.2,10,109,,,,,72.5,64.1,86.0,60.7,,,79.8,2,9,409,24.8,86.7,9.0,35,20,0,17,12,14,3.4,2180,6.6,79.7,320,336,6.9,2.48,7,15,4.3,70.8,238,0,6.7,349,61.3,17,109,,,,,91.0,75.3,85.5,72.5,,,76.9,0,4,361,,97.4,0.3,1,11,0,9,13,8,2.2,2285,6.8,3,70.6,126,150,10.1,3.33,5,9,5.5,56.7,85,220,4.5,220,38.7,4,56,,,,,56.2,48.5,83.9,45.2,,,75.5,2,9,240,24.5,64.7,24.5,54,15,0,17,5,13,5.4,1053,7.0
Josh Allen,46601,QB,BUF,12,483,78.0,132,142,7.2,2.7,1,8,5.3,67.6,96,65,6.8,160,33.1,7,62,,,,,88.8,88.9,82.6,83.8,,,82.8,1,2,170,10.8,102.7,4.4,7,11,0,8,8,2,1.2,1069,7.5,0,4,71.4,91.4,89.5,82.5,77.9,272,291,9.1,2.95,3,19,6.2,68.4,199,94,6.1,323,66.9,13,105,,,,,82.4,90.3,85.3,86.2,,,82.4,2,11,345,8.5,92.4,2.5,8,24,1,13,16,10,2.9,2146,7.4,81.5,303,310,7.6,2.4,4,18,5.6,75.2,233,0,5.7,324,67.1,14,119,,,,,90.9,94.8,85.2,93.4,,,75.6,0,7,336,,104.6,0.0,0,14,1,2,15,5,1.5,2467,8.0,7,67.3,101,123,11.0,3.83,0,9,6.6,50.4,62,159,8.8,159,32.9,6,48,,,,,69.2,67.6,82.8,59.6,,,87.5,3,6,179,9.4,73.5,9.4,15,21,0,19,9,7,3.9,748,6.1
Patrick Mahomes,11765,QB,KC,11,463,80.2,106,110,6.2,2.43,1,4,3.5,71.8,79,42,7.1,118,25.5,6,47,,,,,86.4,81.2,81.4,79.5,,,60.6,2,1,124,14.3,103.9,5.1,6,2,0,1,6,4,3.2,728,6.6,0,16,71.2,89.1,83.6,86.5,78.5,274,301,7.6,3.23,2,14,4.4,66.8,201,121,6.5,345,74.5,14,117,,,,,71.7,88.3,85.6,80.9,,,90.8,7,8,366,6.6,93.6,2.3,8,34,2,16,15,10,2.7,2191,7.3,83.3,276,282,5.3,2.42,2,9,3.1,76.2,215,0,6.5,300,64.8,15,118,,,,,90.7,91.9,84.9,90.2,,,82.7,0,3,309,,112.6,0.0,0,16,2,2,18,6,1.9,2040,7.2,4,67.3,104,129,12.2,4.14,1,9,6.4,50.4,65,163,7.1,163,35.2,5,46,,,,,49.6,72.0,82.8,64.1,,,87.4,9,6,181,8.6,60.8,8.6,14,20,0,15,3,8,4.4,879,6.8
Dak Prescott,10769,QB,DAL,12,461,80.0,115,123,7.9,2.47,4,6,4.6,70.7,87,51,5.4,139,30.2,5,55,,,,,87.7,86.8,82.0,83.2,,,75.0,4,3,147,15.7,104.7,5.8,8,7,0,0,8,1,0.7,949,7.7,0,9,89.8,92.2,91.0,80.7,77.6,281,288,9.0,2.77,2,23,7.4,69.8,201,94,7.8,322,69.8,17,115,,,,,82.6,91.4,85.4,90.3,,,70.4,1,3,348,19.1,109.8,5.6,18,13,0,4,18,6,1.7,2285,7.9,80.1,296,301,8.3,2.37,4,20,6.4,72.4,218,0,8.0,316,68.5,19,127,,,,,90.8,92.6,85.1,91.7,,,63.0,0,4,328,,112.4,0.0,0,11,0,1,21,5,1.5,2327,7.7,4,73.0,100,110,9.7,3.35,2,9,7.0,63.6,70,145,4.1,145,31.5,3,43,,,,,67.6,80.9,82.5,76.1,,,82.2,5,2,167,17.9,97.0,17.9,26,9,0,3,5,2,1.2,907,8.2
Justin Herbert,28237,QB,LAC,11,461,70.9,134,142,9.0,2.55,1,8,5.3,65.5,93,66,2.1,154,33.4,2,57,,,,,68.0,72.9,82.5,70.6,58.4,,71.5,4,4,166,9.1,98.1,3.9,6,6,0,3,10,6,3.6,1011,7.1,1,27,62.5,83.9,81.1,75.7,77.5,240,259,7.9,2.85,6,13,4.7,66.4,172,101,7.5,307,66.6,14,94,,,,,68.8,87.2,85.1,82.9,,,80.5,4,2,327,18.8,96.3,6.2,19,25,0,9,10,7,2.1,1818,7.0,80.6,268,278,7.1,2.37,7,10,3.4,73.7,205,0,5.1,294,63.8,11,111,,,,,90.7,87.6,84.9,84.3,58.4,,75.8,0,1,311,,111.3,0.0,0,12,0,3,15,5,1.6,2087,7.5,5,61.3,106,123,11.5,3.41,0,11,8.1,48.8,60,167,7.7,167,36.2,5,40,,,,,30.8,72.7,82.8,68.2,,,78.4,8,5,182,15.0,64.5,15.0,25,19,0,9,5,8,4.4,742,6.0
Joshua Dobbs,11890,QB,MIN,12,452,70.9,103,113,8.0,2.75,1,5,4.0,61.9,70,52,4.1,125,27.7,3,51,,,,,87.3,69.3,81.8,64.3,,,88.3,4,5,140,7.7,71.2,3.2,4,6,0,5,3,5,3.6,734,6.5,1,18,55.5,66.0,59.6,83.8,72.2,266,281,8.1,3.11,5,6,2.0,64.8,182,118,5.2,327,72.3,10,85,,,,,70.2,61.3,85.4,57.3,58.9,,81.4,1,5,350,17.8,85.2,6.4,21,24,0,9,10,16,4.6,1667,5.9,74.5,263,269,7.6,2.59,5,7,2.5,69.1,186,0,5.1,282,62.4,10,90,,,,,90.7,77.6,84.7,74.6,,,75.8,0,5,296,,89.8,0.0,0,10,0,1,9,7,2.4,1726,6.4,5,65.1,106,125,9.3,3.71,1,4,2.8,52.8,66,170,4.3,170,37.6,3,46,,,,,51.4,44.9,83.1,37.3,58.9,,88.0,5,5,194,14.7,62.6,14.7,25,20,0,13,4,14,7.2,675,5.4
Geno Smith,7820,QB,SEA,12,446,75.7,103,123,7.1,2.45,5,8,5.9,60.2,74,67,5.1,135,30.3,4,38,,,,,87.7,70.6,20.6,71.0,,,55.3,4,2,148,10.4,79.5,5.2,7,3,0,11,3,4,2.7,765,6.2,0,29,79.8,78.9,78.3,62.3,77.5,253,279,8.9,2.9,5,17,5.8,66.3,185,109,5.6,311,69.7,11,102,,,,,81.6,81.6,85.2,78.2,58.9,,78.3,3,7,331,18.3,93.4,6.4,20,12,4,14,12,15,4.5,2153,7.7,80.8,250,262,8.5,2.38,7,21,7.6,72.9,191,0,5.4,270,60.5,11,100,,,,,90.6,90.3,84.6,88.9,,,57.9,0,6,285,,100.6,0.0,0,6,4,1,9,9,3.2,2252,8.6,6,67.9,106,140,8.1,3.34,3,4,2.6,48.6,68,176,5.6,176,39.5,4,40,,,,,70.9,58.3,34.1,55.5,58.9,,81.1,7,3,194,15.3,67.7,15.3,27,9,0,24,6,10,5.2,666,4.8
C.J. Stroud,129759,QB,HST,11,436,77.8,108,114,9.5,2.64,1,2,1.7,67.5,77,47,8.3,129,29.6,7,58,,,,,70.3,76.9,81.7,75.4,,,61.2,2,2,136,25.5,108.4,9.3,12,2,0,3,6,5,3.7,1088,9.5,0,13,53.1,86.3,82.9,77.0,72.7,253,277,9.6,3.08,5,16,5.4,62.1,172,106,6.5,307,70.4,12,104,,,,,55.8,86.1,85.1,82.0,58.9,,82.5,1,3,324,13.2,97.7,4.6,14,15,6,12,13,6,1.9,2178,7.9,78.7,258,273,9.7,2.54,6,13,4.6,68.5,187,0,7.9,283,64.9,16,130,,,,,90.6,93.7,84.7,92.0,,,86.5,0,5,295,,112.0,0.0,0,8,6,3,17,5,1.7,2600,9.5,2,63.1,103,118,9.3,3.7,0,5,3.8,52.5,62,153,4.6,153,35.1,3,32,,,,,26.7,52.4,82.5,51.4,58.9,,66.0,3,0,165,17.0,75.0,17.0,26,9,0,12,2,6,3.6,666,5.6
Jared Goff,10635,QB,DET,11,432,76.3,118,133,7.4,2.45,4,4,2.9,59.4,79,59,12.2,143,33.1,11,52,,,,,65.7,62.0,82.1,61.0,60.0,,66.4,0,4,150,13.6,85.6,5.6,8,2,0,11,6,5,3.3,1006,7.6,0,11,52.9,82.9,81.8,55.0,82.1,252,272,7.1,2.65,2,11,3.9,72.1,196,93,5.3,289,66.9,11,100,,,,,43.7,88.7,84.8,89.0,,,29.4,5,4,302,12.9,102.4,4.2,12,5,1,12,12,7,2.3,2068,7.6,84.3,267,277,6.9,2.36,6,12,4.2,74.7,207,0,8.0,280,64.8,18,110,,,,,90.6,93.1,84.6,91.9,,,63.5,0,2,291,,112.7,0.0,0,3,1,3,14,2,0.7,2294,8.3,4,69.9,103,128,7.9,2.99,0,3,2.2,53.1,68,152,5.6,152,35.2,4,42,,,,,23.7,46.2,82.4,50.5,60.0,,29.2,5,6,161,13.2,62.6,13.2,20,4,0,20,4,10,6.2,780,6.1
Baker Mayfield,46518,QB,TB,11,431,73.8,80,94,10.5,2.53,7,4,4.0,60.6,57,41,3.4,100,23.2,2,38,,,,,85.4,82.1,80.8,81.1,,,56.2,2,0,108,7.3,106.9,3.0,3,3,0,5,6,0,0.0,744,7.9,1,30,60.0,72.5,70.9,65.7,74.4,270,286,8.7,2.87,5,8,2.6,66.1,189,112,6.0,331,76.8,12,92,,,,,46.7,65.6,57.5,64.5,57.6,,66.4,4,7,354,20.5,86.7,6.9,23,21,0,7,11,14,4.0,1846,6.5,77.0,261,271,8.7,2.35,10,8,2.8,69.7,189,0,6.0,278,64.5,12,91,,,,,90.6,82.5,84.7,79.8,57.6,,74.0,0,6,294,,93.2,0.0,0,6,0,0,11,7,2.4,1867,6.9,3,66.3,89,109,10.4,3.61,2,4,3.3,52.3,57,153,3.4,153,35.5,2,39,,,,,25.7,50.0,30.3,50.7,,,58.1,6,1,168,17.0,87.8,17.0,26,18,0,12,6,7,4.2,723,6.6
