player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,12,-7.5,0,569,32,74.4,398,437,9.2,2.91,12,24,5.2,63.4,277,214,6.4,519,91.2,19,153,,,,,72.2,63.8,74.7,60.7,,,75.2,2,13,549,25.7,84.1,10.6,55,26,0,25,17,21,3.8,3003,6.9,78.8,372,403,7.4,2.73,11,21,5.0,67.7,273,184,6.8,474,83.3,20,140,,,,,69.1,68.8,73.6,64.8,,,81.4,2,11,496,26.6,87.6,10.3,49,20,0,18,13,19,3.8,2870,7.1,68.9,74,83,10.1,3.19,1,3,3.3,60.2,50,36,2.0,95,16.7,1,25,,,,,85.3,49.7,80.7,51.4,,,51.8,0,2,105,16.7,85.8,6.3,6,6,0,8,5,2,1.9,468,5.6,0,100.0,48,49,-3.9,1.74,0,0,0.0,93.9,46,6,4.2,50,8.8,2,12,,,,,80.6,70.6,78.1,69.7,,,,0,0,52,0.0,102.0,0.0,0,0,0,1,1,0,0.0,335,6.8,-1.48
Josh Allen,46601,QB,BUF,12,3.98,0,483,4,76.5,371,399,9.5,2.99,4,27,6.4,66.2,264,157,7.0,449,93.0,20,160,,,,,69.4,91.5,74.1,89.7,,,82.5,3,13,480,9.6,95.4,3.3,15,35,1,20,24,12,2.5,3040,7.6,76.7,309,329,8.4,2.85,3,20,5.7,67.2,221,127,6.8,369,76.4,16,115,,,,,63.4,87.0,72.1,82.5,,,81.1,1,11,395,10.2,87.3,3.5,13,27,1,15,15,11,2.8,2212,6.7,82.1,95,104,8.7,2.93,1,7,6.5,71.2,74,32,5.1,114,23.6,4,52,,,,,86.2,92.4,81.2,91.4,,,71.2,2,2,120,6.3,122.4,1.8,2,8,0,6,9,1,0.8,1003,9.6,0,93.9,33,34,-2.9,1.26,0,0,0.0,91.2,31,2,0.0,34,7.0,0,7,,,,,78.3,69.0,76.7,68.2,,,,0,0,35,0.0,88.1,0.0,0,0,0,1,0,0,0.0,175,5.1,2.92
Patrick Mahomes,11765,QB,KC,11,-4.03,0,463,16,75.5,318,347,9.2,3.28,2,18,4.9,63.4,220,157,8.3,395,85.3,20,141,,,,,66.8,89.8,88.1,84.3,,,85.7,9,9,422,8.3,91.2,3.3,13,35,2,16,17,14,3.3,2565,7.4,79.7,316,340,7.2,2.94,2,15,4.2,68.8,234,131,7.1,383,82.7,18,131,,,,,65.8,89.4,88.0,84.4,,,83.4,8,8,408,7.6,94.6,2.6,10,31,2,12,18,13,3.2,2227,6.6,75.0,64,71,7.6,3.41,1,3,4.1,64.8,46,32,4.2,80,17.3,2,33,,,,,83.6,73.9,80.0,69.7,,,77.4,1,1,82,12.5,104.9,5.0,4,5,0,5,3,1,1.2,692,9.7,0,96.8,62,64,-2.9,1.53,1,0,0.0,93.8,60,6,0.0,68,14.7,0,23,,,,,82.3,68.7,79.2,66.6,,,63.9,0,0,68,16.7,110.5,1.5,1,1,0,1,4,0,0.0,354,5.5,3.2
Dak Prescott,10769,QB,DAL,12,-6.35,0,461,9,76.2,361,374,9.8,2.79,5,29,7.2,68.2,255,143,7.3,421,91.3,20,159,,,,,88.5,92.4,44.5,91.2,,,80.7,4,6,455,18.2,107.4,6.2,26,20,0,4,24,7,1.5,3034,8.1,78.4,287,295,8.2,2.59,3,20,6.5,71.9,212,102,5.8,332,72.0,13,129,,,,,84.3,91.8,38.0,90.6,,,81.3,3,5,352,17.6,111.9,5.4,18,16,0,2,20,5,1.4,2438,8.3,78.0,109,116,9.8,2.92,3,9,7.0,65.5,76,43,10.6,129,28.0,9,41,,,,,87.5,83.4,81.9,81.5,,,63.8,2,1,143,18.6,98.9,6.2,8,4,0,2,6,2,1.4,796,6.9,0,100.0,35,37,-2.8,1.58,1,0,0.0,89.2,33,2,5.7,40,8.7,2,11,,,,,79.0,67.6,77.2,66.9,,,,1,0,40,0.0,107.2,0.0,0,0,0,0,2,0,0.0,200,5.4,-1.4
Justin Herbert,28237,QB,LAC,11,4.8,0,461,27,71.9,327,353,10.0,2.9,6,21,5.5,62.3,220,165,6.4,409,88.7,15,139,,,,,58.5,84.0,57.0,81.0,58.4,,76.5,8,6,441,15.2,95.0,6.1,25,30,0,12,19,13,2.9,2549,7.2,75.0,280,302,8.9,2.7,7,18,5.6,64.9,196,128,6.7,345,74.8,14,114,,,,,51.8,83.2,53.6,81.2,58.4,,71.2,5,5,370,18.0,90.9,6.7,23,18,0,10,11,12,3.2,2141,7.1,75.5,94,99,6.5,2.91,0,3,2.8,69.7,69,39,2.8,116,25.2,2,37,,,,,86.4,75.1,81.3,71.3,,,74.3,3,1,123,5.1,115.2,1.7,2,13,0,2,9,1,0.8,688,6.9,0,97.9,47,48,-3.7,1.59,1,0,0.0,93.8,45,2,2.2,52,11.3,1,12,,,,,80.6,69.3,78.1,69.5,,,58.3,0,0,52,0.0,97.9,0.0,0,1,0,0,1,0,0.0,280,5.8,-0.14
Joshua Dobbs,11890,QB,MIN,12,4.99,0,452,18,69.9,335,359,9.2,3.1,5,11,2.9,61.8,222,163,5.1,414,91.6,12,131,,,,,52.0,65.4,73.3,59.1,58.9,,82.6,5,10,448,15.3,80.6,6.0,25,29,0,14,13,21,4.7,2283,6.4,70.0,273,289,8.4,2.92,3,8,2.6,62.6,181,128,5.2,331,73.2,10,105,,,,,53.1,67.9,70.9,60.5,,,85.3,4,9,352,14.8,77.6,5.7,19,21,0,9,10,17,4.8,1715,5.9,77.1,96,105,7.2,3.24,3,3,2.5,67.6,71,42,4.1,121,26.8,3,31,,,,,62.9,58.7,81.8,57.7,58.9,,63.5,1,1,138,14.3,91.2,5.0,6,9,0,5,3,4,2.9,686,6.5,0,91.2,34,35,-3.1,2.02,1,0,0.0,85.7,30,7,3.2,38,8.4,1,5,,,,,79.3,67.5,77.3,63.9,,,65.9,0,0,42,0.0,80.7,0.0,0,1,0,0,0,0,0.0,118,3.4,0.6
Geno Smith,7820,QB,SEA,12,13.13,0,446,29,74.7,324,366,9.5,2.88,7,25,6.3,62.0,227,174,6.2,408,91.5,15,132,,,,,77.8,79.2,41.3,78.6,58.9,,62.3,7,9,440,15.5,86.9,6.6,27,15,4,24,14,19,4.3,2692,7.4,74.6,264,301,8.0,2.6,7,15,4.6,61.1,184,132,6.6,332,74.4,13,94,,,,,72.7,68.8,53.6,67.9,58.9,,62.2,6,8,356,17.4,81.3,6.9,23,8,4,20,11,17,4.8,1960,6.5,83.7,92,101,9.5,3.23,3,10,9.3,74.3,75,44,2.6,114,25.6,2,46,,,,,86.4,91.7,10.0,91.5,,,61.2,1,1,123,9.1,112.6,3.5,4,7,0,5,4,2,1.6,958,9.5,0,100.0,32,36,-3.3,1.44,3,0,0.0,88.9,32,2,0.0,38,8.5,0,8,,,,,78.9,64.1,77.1,63.6,,,,0,0,39,0.0,102.1,0.0,0,0,0,1,1,0,0.0,226,6.3,2.98
C.J. Stroud,129759,QB,HST,11,-3.2,0,436,13,72.0,328,357,10.9,3.07,6,18,4.8,61.1,218,150,7.6,398,91.3,18,155,,,,,49.2,87.3,72.8,83.6,58.9,,78.3,3,5,419,16.7,100.1,6.3,25,16,6,14,19,11,2.6,3018,8.5,75.4,281,306,8.5,2.79,6,11,3.4,64.4,197,113,7.1,334,76.6,15,119,,,,,41.4,86.7,71.0,83.8,58.9,,73.5,3,3,352,15.0,100.4,5.1,17,10,6,10,15,6,1.7,2378,7.8,70.0,80,85,13.4,3.45,0,7,7.7,61.2,52,40,7.1,102,23.4,4,43,,,,,85.4,73.7,80.9,70.8,,,72.6,0,2,108,22.5,102.5,8.8,9,7,0,5,4,5,4.6,888,10.4,0,97.0,33,34,-3.6,1.7,0,0,0.0,91.2,31,3,3.1,38,8.7,1,7,,,,,79.0,61.7,77.3,62.3,,,58.3,0,0,41,33.3,97.1,2.6,1,1,0,1,0,0,0.0,248,7.3,2.68
Jared Goff,10635,QB,DET,11,6.96,0,432,11,77.5,324,354,8.7,2.72,5,15,4.1,65.5,232,147,7.6,381,88.2,19,133,,,,,47.6,83.0,88.4,82.0,60.0,,55.0,5,8,398,13.6,95.8,5.2,20,7,1,19,17,12,3.0,2760,7.8,78.1,283,308,7.2,2.47,5,13,4.0,66.2,204,114,7.7,327,75.7,17,111,,,,,52.6,77.6,88.1,76.5,60.0,,57.2,4,8,342,12.3,88.4,4.3,14,5,1,15,12,11,3.2,2139,6.9,87.4,87,97,7.0,2.95,1,2,2.0,73.2,71,38,6.6,105,24.3,5,41,,,,,57.1,86.4,80.9,85.3,,,54.5,1,0,110,15.8,123.9,5.7,6,2,0,8,6,1,0.9,935,9.6,0,100.0,46,51,-3.8,1.59,1,0,0.0,84.3,43,5,6.5,51,11.8,3,19,,,,,80.9,68.4,78.3,67.6,,,,0,0,54,0.0,98.9,0.0,0,0,0,4,1,0,0.0,314,6.2,2.7
Baker Mayfield,46518,QB,TB,11,-5.91,0,431,30,71.3,314,343,10.6,2.93,11,12,3.2,61.5,211,150,5.8,393,91.2,13,121,,,,,56.8,71.9,72.3,70.3,57.6,,65.7,6,7,424,17.3,89.3,6.6,26,24,0,12,16,14,3.3,2381,6.9,75.3,259,279,8.7,2.7,9,8,2.7,66.3,185,109,5.1,319,74.0,10,90,,,,,60.0,71.9,87.6,70.5,,,62.2,4,3,340,19.3,92.7,6.6,21,19,0,7,11,11,3.2,1785,6.4,71.4,91,101,10.4,3.06,3,4,3.6,60.4,61,44,6.2,112,26.0,4,40,,,,,59.9,68.6,14.0,67.2,57.6,,71.6,2,4,122,11.4,88.9,4.5,5,5,0,5,6,3,2.5,805,8.0,0,100.0,36,37,-3.8,1.37,1,0,0.0,94.6,35,3,2.8,38,8.8,1,9,,,,,78.7,70.4,77.0,69.5,,,,0,0,38,0.0,99.2,0.0,0,0,0,0,1,0,0.0,209,5.6,1.57
