Player,Roster Position,%Drafted,FPTS
Auston Matthews,C,29.90%,31.6
Sean Couturier,C,19.19%,19.3
Jakob Chychrun,D,17.46%,12
John Tavares,C,17.19%,10.8
Kevin Fiala,W,15.53%,14.5
Mitchell Marner,W,15.04%,27.5
Jacob Markstrom,G,14.95%,4.8
Dougie Hamilton,D,14.48%,3
Tomas Hertl,C,14.44%,29.5
Travis Konecny,W,13.61%,9.3
Claude Giroux,W,13.43%,18
Johnny Gaudreau,W,13.34%,4.5
William Nylander,W,13.31%,24
Jason Robertson,UTIL,13.15%,20.3
Elias Lindholm,C,12.38%,11
Mikael Backlund,UTIL,12.28%,3
Kirill Kaprizov,W,12.10%,25.5
Jake Muzzin,D,12.03%,2.6
Igor Shesterkin,G,11.81%,14.6
Brent Burns,D,10.61%,12.3
Carter Hart,G,9.77%,30.3
Matthew Tkachuk,W,9.68%,20.5
Jared Spurgeon,D,9.65%,7.8
Cam Atkinson,W,9.59%,3
Alec Martinez,D,9.25%,9.5
Kyle Connor,UTIL,9.01%,1.5
Cam Talbot,G,8.79%,8.8
Jack Campbell,G,8.54%,28.2
Morgan Rielly,D,7.99%,9.5
Joel Eriksson Ek,C,7.87%,11
Michael Bunting,W,7.83%,8
Frederick Gaudreau,UTIL,7.83%,6
Ivan Provorov,D,7.61%,5.6
Dawson Mercer,UTIL,7.29%,4.5
Jesper Bratt,W,6.62%,3
Nikolaj Ehlers,W,6.55%,8
Lucas Raymond,W,6.36%,6
Brendan Gallagher,W,6.35%,18
Drake Batherson,W,6.14%,19.5
Alexander Kerfoot,W,6.08%,9.5
Jonathan Marchessault,W,5.98%,4.5
Blake Wheeler,W,5.94%,6.5
Roope Hintz,C,5.91%,4.3
Brady Tkachuk,W,5.77%,10.5
Marcus Foligno,W,5.66%,27.5
John Klingberg,D,5.63%,14.9
Craig Anderson,G,5.58%,-2.1
Joe Pavelski,W,5.56%,11
Pierre-Luc Dubois,C,5.54%,23.3
J.T. Miller,W,5.50%,30.5
Moritz Seider,D,5.47%,18.9
Ryan Merkley,D,5.36%,12.8
Mark Scheifele,C,5.34%,10.8
Elias Pettersson,C,5.31%,9.5
Jeff Petry,D,5.26%,6.3
Brock Boeser,W,5.24%,4.3
Ryan Hartman,W,5.14%,3
Filip Gustavsson,G,5.07%,14.1
Mika Zibanejad,UTIL,4.97%,11.5
James van Riemsdyk,W,4.91%,12.3
Josh Anderson,W,4.78%,20.5
James Reimer,G,4.69%,13
Alex Nedeljkovic,G,4.66%,22.6
Alex Pietrangelo,D,4.65%,9.9
Eric Comrie,G,4.65%,12.3
Alexander Radulov,W,4.60%,9.3
William Eklund,W,4.59%,5
Joel Farabee,UTIL,4.54%,1.5
Andrew Copp,UTIL,4.48%,1.5
Rasmus Andersson,D,4.48%,2.8
Filip Hronek,D,4.47%,9.7
Artemi Panarin,W,4.46%,19.5
Jonathan Dahlen,W,4.40%,10
Nick Suzuki,C,4.22%,33.3
Tyler Toffoli,W,4.16%,13
Chris Kreider,W,4.16%,2.8
Reilly Smith,W,4.16%,0
Blake Coleman,UTIL,4.14%,4.3
Bo Horvat,C,4.01%,3
Roman Josi,D,3.95%,5.8
Will Butcher,D,3.86%,3
Chandler Stephenson,UTIL,3.84%,1.3
Logan Couture,C,3.81%,7.3
Keith Yandle,D,3.63%,11.4
Adam Fox,D,3.55%,27.4
Shea Theodore,D,3.55%,12.7
Derick Brassard,C,3.47%,0
Jake Allen,G,3.46%,25.4
Alexander Barabanov,W,3.43%,5
Thatcher Demko,G,3.41%,15.1
Josh Norris,C,3.28%,22.1
Jamie Benn,C,3.27%,11.5
Michael Rasmussen,C,3.14%,0
Nico Hischier,C,3.03%,6
Sean Monahan,C,3.02%,5
Neal Pionk,D,3.01%,7.3
Robby Fabbri,W,2.96%,1.3
Juuse Saros,G,2.90%,28.6
Artem Zub,D,2.86%,8.2
Thomas Chabot,D,2.85%,5.6
Braden Holtby,G,2.80%,13.9
Nicolas Meloche,UTIL,2.80%,1.3
Troy Terry,UTIL,2.76%,21.5
Nick Bonino,UTIL,2.73%,0
Ryan Strome,UTIL,2.71%,7.8
Rasmus Asplund,W,2.70%,12.1
Mike Hoffman,W,2.58%,1.5
Matt Dumba,D,2.58%,11
Robin Lehner,G,2.39%,6.3
Quinn Hughes,D,2.38%,10.8
Paul Stastny,W,2.38%,11.5
Noah Hanifin,D,2.33%,10.5
Nicolas Hague,D,2.32%,7.1
Adam Henrique,W,2.31%,4.1
Joel Armia,W,2.30%,3
Barclay Goodrow,W,2.27%,5.8
Jonathan Bernier,G,2.27%,2.1
Tyler Seguin,C,2.26%,24
