Team,Nickname,City,State,Capacity,Conference,Former Conf,First Played,Joined FBS
AIR FORCE,Falcons,Colorado Springs,Colorado,"4,237",Mountain West,WAC,1955,
AKRON,Zips,Akron,Ohio,"19,200",MAC,"OAC, MCC, OVC",1891,1987
ALABAMA,Crimson Tide,Tuscaloosa,Alabama,"38,500",SEC,"SIAA, SoCon",1892,
APPALACHIAN STATE,Mountaineers,Boone,North Carolina,"19,100",Sun Belt,"NSC, SoCon",1928,2014[n 1]
ARIZONA,Wildcats,Tucson,Arizona,"45,200",Pac-12,"BIAA, WAC",1899,
ARIZONA STATE,Sun Devils,Tempe,Arizona,"51,800",Pac-12,"BIAA, WAC",1896,
ARKANSAS,Razorbacks,Fayetteville,Arkansas,"27,800",SEC,SWC,1894,
ARKANSAS STATE,Red Wolves,Jonesboro,Arkansas,"22,000",Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992
ARMY,Black Knights,West Point,New York,"4,300",Independent,C-USA,1890,
AUBURN,Tigers,Auburn,Alabama,"30,400",SEC,"SIAA, SoCon",1892,
BALL STATE,Cardinals,Muncie,Indiana,"22,500",MAC,"IIC, ICC",1924,
BAYLOR,Bears,Waco,Texas,"17,200",Big 12,"TIAA, SWC",1899,
BOISE STATE,Broncos,Boise,Idaho,"25,500",Mountain West,"ICAC, Big Sky, Big West, WAC",1933[n 2],1996
BOSTON COLLEGE,Eagles,Chestnut Hill,Massachusetts,"14,700",ACC,Big East,1893,
BOWLING GREEN,Falcons,Bowling Green,Ohio,"23,000",MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,
BUFFALO,Bulls,Buffalo,New York,"31,500",MAC,New York State Conference,1894,1999
BYU,Cougars,Provo,Utah,"33,600",Independent[n 3],"Rocky Mountain, Mountain States, WAC, MW",1922,
CALIFORNIA,Golden Bears,Berkeley,California,"42,500",Pac-12,PCC,1882,
CENTRAL MICHIGAN,Chippewas,Mount Pleasant,Michigan,"21,700",MAC,"MCC, IIAC",1896,
CHARLOTTE,49ers,Charlotte,North Carolina,"29,700",C-USA,"Sun Belt, C-USA, A-10",2013,2015
CINCINNATI,Bearcats,Cincinnati,Ohio,"46,000",American[n 3],"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,
CLEMSON,Tigers,Clemson,South Carolina,"25,000",ACC,"SIAA, SAIAA, SoCon",1896,
COASTAL CAROLINA,Chanticleers,Conway,South Carolina,"10,600",Sun Belt,Big South,2003,2017
COLORADO,Buffaloes,Boulder,Colorado,"33,200",Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,
COLORADO STATE,Rams,Fort Collins,Colorado,"33,800",Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,
DUKE,Blue Devils,Durham,North Carolina,"15,900",ACC,SoCon,1888,
EAST CAROLINA,Pirates,Greenville,North Carolina,"29,100",American,"NSC, Carolinas, SoCon, C-USA",1932,
EASTERN MICHIGAN,Eagles,Ypsilanti,Michigan,"20,300",MAC,"MIAA, MCC, IIAC, PAC",1891,
FIU,Panthers,Miami,Florida,"56,800",C-USA,Sun Belt,2002,2006
FLORIDA,Gators,Gainesville,Florida,"56,100",SEC,"SIAA, SoCon",1906,
FLORIDA ATLANTIC,Owls,Boca Raton,Florida,"30,800",C-USA,Sun Belt,2001,2006
FLORIDA STATE,Seminoles,Tallahassee,Florida,"41,900",ACC,Dixie,1947,
FRESNO STATE,Bulldogs,Fresno,California,"25,000",Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,
GEORGIA,Bulldogs,Athens,Georgia,"38,200",SEC,"SIAA, SoCon",1892,
GEORGIA SOUTHERN,Eagles,Statesboro,Georgia,"26,400",Sun Belt,SoCon,1924,2014
GEORGIA STATE,Panthers,Atlanta,Georgia,"52,800",Sun Belt,CAA,2010,2013
GEORGIA TECH,Yellow Jackets,Atlanta,Georgia,"32,700",ACC,"SIAA, SoCon, SEC",1892,
HAWAII,Rainbow Warriors,Honolulu,Hawai'i,"17,700",Mountain West,WAC,1909,
HOUSTON,Cougars,Houston,Texas,"42,700",American[n 3],"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 4]",1946,
ILLINOIS,Fighting Illini,Urbana–Champaign,Illinois,"51,200",Big Ten,Illinois Intercollegiate Football League,1890,
INDIANA,Hoosiers,Bloomington,Indiana,"43,700",Big Ten,IIAA,1887,
IOWA,Hawkeyes,Iowa City,Iowa,"33,000",Big Ten,"WIUFA, MVC",1889,
IOWA STATE,Cyclones,Ames,Iowa,"33,400",Big 12,"MVC, Big 8",1892,
KANSAS,Jayhawks,Lawrence,Kansas,"27,700",Big 12,"KCAC, WIUFA, MVC, Big 8",1890,
KANSAS STATE,Wildcats,Manhattan,Kansas,"21,700",Big 12,"MVC, Big 8",1896,
KENT STATE,Golden Flashes,Kent,Ohio,"39,300",MAC,OAC,1920,
KENTUCKY,Wildcats,Lexington,Kentucky,"29,200",SEC,"SIAA, SoCon",1881,
LIBERTY,Flames,Lynchburg,Virginia,"15,000",Independent,Big South,1973,2018
LOUISIANA,Ragin' Cajuns,Lafayette,Louisiana,"19,200",Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,
LOUISIANA–MONROE,Warhawks,Monroe,Louisiana,"8,800",Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994
LOUISIANA TECH,Bulldogs,Ruston,Louisiana,"12,400",C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989
LOUISVILLE,Cardinals,Louisville,Kentucky,"22,600",ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,
LSU,Tigers,Baton Rouge,Louisiana,"30,800",SEC,"SIAA, SoCon",1893,
MARSHALL,Thundering Herd,Huntington,West Virginia,"13,200",C-USA,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1895,1997[n 1]
MARYLAND,Terrapins,College Park,Maryland,"41,200",Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,
MEMPHIS,Tigers,Memphis,Tennessee,"21,500",American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 4]",1912,
MIAMI (FL),Hurricanes,Coral Gables[n 5],Florida,"17,300",ACC,"SIAA, Big East",1926[2],
MIAMI (OH),RedHawks,Oxford,Ohio,"24,300",MAC,"OAC, Buckeye Conference",1888,
MICHIGAN,Wolverines,Ann Arbor,Michigan,"46,000",Big Ten,,1879,
MICHIGAN STATE,Spartans,East Lansing,Michigan,"50,300",Big Ten,MIAA,1885,
MIDDLE TENNESSEE,Blue Raiders,Murfreesboro,Tennessee,"21,900",C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999
MINNESOTA,Golden Gophers,Minneapolis,Minnesota,"47,800",Big Ten,,1882,
MISSISSIPPI STATE,Bulldogs,Starkville,Mississippi,"22,200",SEC,"SIAA, SoCon",1895,
MISSOURI,Tigers,Columbia,Missouri,"30,000",SEC,"WIUFA, Big 8, Big 12",1890,
NAVY,Midshipmen,Annapolis,Maryland,"4,600",American,Independent,1879,
NC STATE,Wolfpack,Raleigh,North Carolina,"35,500",ACC,"SAIAA, SIAA, SoCon",1892,
NEBRASKA,Cornhuskers,Lincoln,Nebraska,"25,800",Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,
NEVADA,Wolf Pack,Reno,Nevada,"21,600",Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992
NEW MEXICO,Lobos,Albuquerque,New Mexico,"26,300",Mountain West,"BIAA, WAC",1892,
NEW MEXICO STATE,Aggies,Las Cruces,New Mexico,"21,900",Independent,"BIAA, MVC, Big West, Sun Belt, WAC",1893,
NORTH CAROLINA,Tar Heels,Chapel Hill,North Carolina,"29,800",ACC,"SAIAA, SIAA, SoCon",1888,
NORTH TEXAS,Mean Green,Denton,Texas,"39,400",C-USA,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1913,1995
