player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,8,0,,,5.0,,,0,0,0,,3,59.2,77.2,86.1,73.5,69.2,39.7,0,,100.0,4,0,0,0.0,0,12,242,3,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,8,2,-1.5,100.0,4.9,3.5,3.5,0,0,0,0.0,24,72.3,90.0,86.2,84.4,75.2,57.9,0,2,20.0,1,0,0,79.2,2,7,144,4,2,2,0,2,5,0.3,1.0
Jason Pierre-Paul,5540,ED,BLT,6,0,1.0,100.0,3.1,3.0,3.0,1,0,0,0.0,3,55.7,49.6,59.2,56.2,46.3,59.4,0,8,0.0,0,0,1,100.0,1,5,162,2,3,1,0,8,7,2.7,8.0
Kareem Jackson,5545,S,DEN,8,2,9.6,64.3,100.0,35.6,22.9,0,0,3,21.4,10,68.6,69.0,56.6,,66.7,61.8,0,22,14.3,3,2,1,119.0,9,346,346,3,16,14,2,80,22,0.3,8.9
Devin McCourty,5552,S,NE,9,2,19.0,61.5,99.7,41.0,25.2,0,1,3,23.1,19,66.7,69.0,84.1,58.3,69.4,85.1,2,54,3.4,1,3,0,99.8,8,338,339,1,26,13,2,145,27,0.4,18.1
Jerry Hughes,5556,ED,HST,8,0,,,1.0,,,1,0,0,,13,68.2,76.3,54.7,70.2,63.9,28.0,1,,71.4,5,0,2,0.0,0,2,193,8,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,8,1,8.0,100.0,8.0,13.0,13.0,0,0,0,0.0,16,56.9,61.3,87.5,59.3,62.6,43.9,0,8,33.3,2,0,0,100.0,1,13,162,6,3,1,0,8,0,0.6,8.0
Von Miller,6154,ED,BUF,8,0,,,0.9,,,0,0,0,,4,90.2,88.5,42.7,80.3,79.1,53.1,0,,33.3,1,0,2,0.0,0,2,216,9,2,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,8,2,13.1,51.4,99.7,18.0,9.3,0,0,8,22.9,18,76.0,76.9,49.4,60.0,81.5,75.6,1,38,8.0,2,8,3,81.0,18,351,352,6,21,35,2,243,101,0.8,13.5
Robert Quinn,6166,ED,PHI,9,0,3.0,100.0,2.5,4.0,4.0,2,0,0,0.0,24,60.4,42.2,23.4,56.6,38.7,50.8,0,13,0.0,0,0,4,118.8,1,5,197,2,1,1,0,13,10,3.3,13.0
Cameron Jordan,6176,ED,NO,9,1,,,2.3,,,0,0,0,,20,80.7,70.1,73.4,58.1,73.8,43.2,0,,20.0,1,0,1,0.0,0,6,257,5,3,0,0,0,0,0.0,
Justin Houston,6222,ED,BLT,6,0,,,6.4,,,0,0,0,,3,67.8,78.6,52.1,76.1,65.2,56.0,1,,60.0,3,0,1,0.0,0,10,156,9,2,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,5,0,5.0,85.7,91.7,6.8,5.8,0,0,0,0.0,20,55.6,57.9,82.0,68.7,60.0,86.0,0,21,0.0,0,0,2,97.8,18,133,145,4,11,21,0,157,67,1.3,8.7
Josh Bynes,6503,LB,BLT,7,3,3.9,58.3,84.4,17.0,9.9,0,0,1,8.3,3,69.9,54.2,80.9,58.5,38.1,62.3,1,22,14.3,2,1,0,72.6,7,124,147,3,9,12,1,83,56,0.7,11.9
Nick Bellore,6515,LB,SEA,1,0,,,50.0,,,0,0,0,,29,60.0,80.8,65.9,60.0,74.9,71.7,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Mario Addison,6558,ED,HST,4,0,-3.0,0.0,1.3,,1.0,0,0,0,0.0,13,64.1,55.8,83.9,53.9,53.1,50.5,0,,0.0,0,0,0,39.6,0,1,75,0,1,1,0,0,0,0.0,
Stephon Gilmore,7016,CB,IND,9,0,9.9,61.2,100.0,10.2,6.2,0,1,6,12.2,14,71.7,73.3,85.9,,73.1,60.8,1,53,9.7,3,3,2,76.4,30,318,318,7,28,49,0,374,140,1.2,12.5
Bruce Irvin,7021,ED,SEA,3,0,-3.0,100.0,9.6,7.0,7.0,0,0,0,0.0,29,64.4,59.2,28.3,55.7,68.6,29.1,0,6,66.7,2,0,1,91.7,1,7,73,1,1,1,0,6,9,0.9,6.0
Melvin Ingram III,7024,ED,MIA,9,0,1.9,100.0,19.3,5.0,5.0,1,0,0,0.0,17,39.8,66.4,0.0,79.1,72.9,40.1,0,19,50.0,2,0,5,107.1,7,39,202,5,2,7,0,68,55,1.9,9.7
