Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3889848155,AdinGz,1020,34.6,QB Justin Fields RB Isiah Pacheco RB Najee Harris WR Amon-Ra St. Brown WR Garrett Wilson WR George Pickens TE Noah Gray FLEX Kyle Pitts BN David Njoku BN James Cook BN Allen Lazard BN Darnell Mooney BN Zay Jones BN Bryce Young BN Nico Collins BN Irv Smith Jr. BN John Metchie III BN Sam Howell BN Chase Claypool BN Cade Otton,,Cooper Kupp,WR,8.33%,0
2,3889822537,greysquirrel,960,28.54,QB Patrick Mahomes RB Jahmyr Gibbs RB Dameon Pierce WR Christian Kirk WR Tyler Lockett WR Brandin Cooks TE Travis Kelce FLEX Alvin Kamara BN Jameson Williams BN Aaron Rodgers BN AJ Dillon BN Jakobi Meyers BN Kenneth Gainwell BN Michael Mayer BN Rondale Moore BN Jimmy Garoppolo BN Luke Musgrave BN Chris Evans BN Mack Hollins BN Adam Trautman,,Nick Chubb,RB,8.33%,0
3,3889848094,bobbymartin44,1020,23.3,QB Jalen Hurts RB David Montgomery RB Bijan Robinson WR Kadarius Toney WR DJ Moore WR Michael Thomas TE Sam LaPorta FLEX Travis Etienne Jr. BN J.K. Dobbins BN Alexander Mattison BN Anthony Richardson BN K.J. Osborn BN Alec Pierce BN Tyler Higbee BN Wan'Dale Robinson BN Josh Downs BN Hunter Renfrow BN Isaiah Hodgins BN Isaiah Likely BN Tutu Atwell,,Amari Cooper,WR,8.33%,0
4,3889808934,DeepSeaMike,1020,22.4,QB Joe Burrow RB Clyde Edwards-Helaire RB Josh Jacobs WR Josh Reynolds WR Justin Watson WR Justin Jefferson TE Dallas Goedert FLEX Chris Olave BN Kenneth Walker III BN Jaxon Smith-Njigba BN Courtland Sutton BN Quentin Johnston BN Geno Smith BN Tyler Boyd BN Gerald Everett BN Joshua Palmer BN Tank Bigsby BN Deon Jackson BN Ty Chandler BN Salvon Ahmed,,Miles Sanders,RB,8.33%,0
5,3889790685,TBEV_5,1080,18.400002,QB Daniel Jones RB Saquon Barkley RB Rhamondre Stevenson WR Rashee Rice WR Marquez Valdes-Scantling WR CeeDee Lamb TE Evan Engram FLEX Deebo Samuel BN Chris Godwin BN Cam Akers BN Kirk Cousins BN Rashaad Penny BN Romeo Doubs BN Matthew Stafford BN Mike Gesicki BN Hayden Hurst BN Chuba Hubbard BN Gus Edwards BN Kyren Williams BN Joshua Kelley,,Darren Waller,TE,8.33%,0
6,3889827325,Maxx67,1140,14.02,QB Jared Goff RB Christian McCaffrey RB D'Andre Swift WR DeVonta Smith WR Terry McLaurin WR Brandon Aiyuk TE T.J. Hockenson FLEX Elijah Moore BN Josh Allen BN Tyler Allgeier BN Elijah Mitchell BN Cole Kmet BN Antonio Gibson BN Donovan Peoples-Jones BN Devin Singletary BN Chase Brown BN Khalil Shakir BN Noah Fant BN Baker Mayfield BN DeVante Parker,,Dak Prescott,QB,8.33%,0
7,3889816637,mrmisch85,1140,2,QB Lamar Jackson RB Jerick McKinnon RB Breece Hall WR Tyreek Hill WR Jaylen Waddle WR Christian Watson TE Dawson Knox FLEX Rachaad White BN Odell Beckham Jr. BN Zay Flowers BN Khalil Herbert BN Jordan Love BN Jeff Wilson Jr. BN Juwan Johnson BN Jaylen Warren BN Jayden Reed BN Van Jefferson BN Robert Woods BN Zack Moss BN Devin Duvernay,,Gabe Davis,WR,8.33%,0
8,3889823253,rutkowski58,1140,1.6,QB Justin Herbert RB Austin Ekeler RB Damien Harris WR Richie James Jr. WR Davante Adams WR Mike Williams TE George Kittle FLEX Jerry Jeudy BN Keenan Allen BN Michael Pittman Jr. BN Pat Freiermuth BN JuJu Smith-Schuster BN Raheem Mostert BN Ezekiel Elliott BN Curtis Samuel BN Brock Purdy BN Parris Campbell BN Deuce Vaughn BN Hunter Henry BN Zamir White,,Jordan Addison,FLEX,8.33%,0
9,3889785095,robojoe6969,1140,0.4,QB Dak Prescott RB Nick Chubb RB Miles Sanders WR Skyy Moore WR Cooper Kupp WR Amari Cooper TE Darren Waller FLEX Gabe Davis BN Jordan Addison BN Jamaal Williams BN De'Von Achane BN Tyjae Spears BN Jonathan Mingo BN Kenny Pickett BN Trey McBride BN Mac Jones BN Zach Ertz BN Allen Robinson II BN Terrace Marshall Jr. BN Evan Hull,,Jamaal Williams,BN,8.33%,0
10,3889816620,mallon,1200,0,QB Tua Tagovailoa RB Jonathan Taylor RB Derrick Henry WR Ja'Marr Chase WR Tee Higgins WR DeAndre Hopkins TE Dalton Schultz FLEX Drake London BN Marquise Brown BN James Conner BN Zach Charbonnet BN Russell Wilson BN Jalin Hyatt BN Greg Dulcich BN Dalton Kincaid BN Kendre Miller BN Mecole Hardman Jr. BN Tank Dell BN Ryan Tannehill BN Darius Slayton,,Skyy Moore,BN,8.33%,0.4
