Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3871094115,Goochofmunising,1020,26.8,QB Derek Carr RB David Montgomery RB Derrick Henry WR Rashee Rice WR Marvin Jones Jr. WR Jaylen Waddle TE Cole Kmet FLEX Jerry Jeudy BN Aaron Jones BN Tyler Lockett BN Michael Thomas BN Jamaal Williams BN K.J. Osborn BN Rashid Shaheed BN Jimmy Garoppolo BN Cordarrelle Patterson BN Zach Ertz BN Ryan Tannehill BN Calvin Austin III BN Latavius Murray,,Ja'Marr Chase,WR,8.33%,0
2,3871103783,Timmmyy91,1020,26.02,QB Jared Goff RB Tony Pollard RB Rhamondre Stevenson WR Josh Reynolds WR CeeDee Lamb WR Deebo Samuel TE Darren Waller FLEX George Pickens BN Rachaad White BN Daniel Jones BN Jahan Dotson BN Jameson Williams BN Dawson Knox BN Roschon Johnson BN Kendre Miller BN Nico Collins BN Isaiah Hodgins BN Chuba Hubbard BN Cade Otton BN Puka Nacua,,Tee Higgins,WR,8.33%,0
3,3871103810,SDSUDS,960,24.54,QB Patrick Mahomes RB Jerick McKinnon RB Breece Hall WR Justyn Ross WR Skyy Moore WR Justin Jefferson TE Dallas Goedert FLEX Chris Olave BN DeAndre Hopkins BN James Conner BN Elijah Moore BN De'Von Achane BN Jalin Hyatt BN Jordan Love BN Romeo Doubs BN Mecole Hardman Jr. BN Luke Musgrave BN Deon Jackson BN Ty Chandler BN Kenyan Drake,,Joe Burrow,QB,8.33%,0
4,3871104061,Matt892,1140,19.1,QB Lamar Jackson RB Dameon Pierce RB Alvin Kamara WR Amon-Ra St. Brown WR A.J. Brown WR Amari Cooper TE George Kittle FLEX Rashaad Penny BN Rashod Bateman BN Zay Flowers BN Geno Smith BN Jeff Wilson Jr. BN C.J. Stroud BN Tyler Higbee BN Michael Mayer BN Joshua Palmer BN Chase Brown BN John Metchie III BN Marvin Mims Jr. BN Skylar Thompson,,Calvin Ridley,WR,8.33%,0
5,3871111345,roc27,1080,9.9,QB Aaron Rodgers RB Saquon Barkley RB Najee Harris WR Kadarius Toney WR Stefon Diggs WR DK Metcalf TE Sam LaPorta FLEX Terry McLaurin BN Jaxon Smith-Njigba BN D'Andre Swift BN Evan Engram BN Chig Okonkwo BN Trey Lance BN DJ Chark Jr. BN Matthew Stafford BN Devin Singletary BN Michael Gallup BN Gus Edwards BN Zamir White BN Kyle Trask,,Drake London,FLEX,8.33%,0
6,3871085095,Dilsher,1140,9.4,QB Joe Burrow RB Isiah Pacheco RB Miles Sanders WR Ja'Marr Chase WR Tee Higgins WR Calvin Ridley TE Dalton Schultz FLEX Drake London BN Cam Akers BN Treylon Burks BN AJ Dillon BN Jakobi Meyers BN Jonathan Mingo BN Irv Smith Jr. BN Brock Purdy BN Cedric Tillman BN Parris Campbell BN Jerome Ford BN Corey Davis BN Joshua Kelley,,Miles Sanders,RB,8.33%,0
7,3871110924,italiantocansam2,1080,8.400001,QB Josh Allen RB Christian McCaffrey RB J.K. Dobbins WR Marquez Valdes-Scantling WR Richie James Jr. WR DeVonta Smith TE T.J. Hockenson FLEX Marquise Brown BN Gabe Davis BN Brian Robinson Jr. BN Tyler Boyd BN Dalton Kincaid BN Kenneth Gainwell BN Rondale Moore BN Curtis Samuel BN Mike Gesicki BN Tyquan Thornton BN Sam Howell BN Kevin Harris BN Dyami Brown,,Isiah Pacheco,BN,8.33%,9.4
8,3871094044,Bronco4life777,1080,8,QB Trevor Lawrence RB Jahmyr Gibbs RB Javonte Williams WR Christian Watson WR Christian Kirk WR Allen Lazard TE Travis Kelce FLEX Mark Andrews BN Dak Prescott BN Khalil Herbert BN Russell Wilson BN Kyler Murray BN Adam Thielen BN Raheem Mostert BN Alec Pierce BN Hunter Renfrow BN Hayden Hurst BN Desmond Ridder BN Robert Woods BN Chris Evans,,Cam Akers,RB,8.33%,0
9,3871094102,BigPimpin81,1140,3.9,QB Deshaun Watson RB Clyde Edwards-Helaire RB Jonathan Taylor WR Cooper Kupp WR Garrett Wilson WR Michael Pittman Jr. TE Greg Dulcich FLEX Brandon Aiyuk BN Joe Mixon BN James Cook BN Anthony Richardson BN Antonio Gibson BN D'Onta Foreman BN Donovan Peoples-Jones BN Taysom Hill BN Gerald Everett BN Tank Bigsby BN Baker Mayfield BN Allen Robinson II BN Mack Hollins,,Treylon Burks,BN,8.33%,0
10,3871094075,DeepSeaMike,1200,0,QB Justin Herbert RB Bijan Robinson RB Travis Etienne Jr. WR Davante Adams WR Mike Williams WR Chris Godwin TE Juwan Johnson FLEX Brandin Cooks BN Jordan Addison BN Courtland Sutton BN Kirk Cousins BN Ezekiel Elliott BN Tyjae Spears BN Jaylen Warren BN Jake Ferguson BN Noah Fant BN Deuce Vaughn BN Hunter Henry BN Darius Slayton BN Noah Brown,,AJ Dillon,BN,8.33%,0
10,3871104056,SoFlaBigPete,1200,0,QB Jalen Hurts RB Austin Ekeler RB Dalvin Cook WR DJ Moore WR Keenan Allen WR Diontae Johnson TE David Njoku FLEX Pat Freiermuth BN Odell Beckham Jr. BN Alexander Mattison BN Damien Harris BN Samaje Perine BN Tyler Allgeier BN Zay Jones BN Bryce Young BN Kenny Pickett BN Khalil Shakir BN Chase Claypool BN Jayden Reed BN Tyler Conklin,,Jakobi Meyers,BN,8.33%,0
10,3871085375,Lukas_Chamberlain7,1140,0,QB Justin Fields RB Nick Chubb RB Josh Jacobs WR Tyreek Hill WR Mike Evans WR Quentin Johnston TE Kyle Pitts FLEX Kenneth Walker III BN Tua Tagovailoa BN Zach Charbonnet BN JuJu Smith-Schuster BN Elijah Mitchell BN Darnell Mooney BN Kareem Hunt BN Isaiah Likely BN Van Jefferson BN Mac Jones BN Tank Dell BN DeVante Parker BN Kendrick Bourne,,Dalton Schultz,TE,8.33%,0
,,,,,,,Jonathan Mingo,BN,8.33%,0
,,,,,,,Irv Smith Jr.,BN,8.33%,0
,,,,,,,Brock Purdy,BN,8.33%,0
,,,,,,,Cedric Tillman,BN,8.33%,0
,,,,,,,Parris Campbell,BN,8.33%,0
,,,,,,,Jerome Ford,BN,8.33%,0
,,,,,,,Corey Davis,BN,8.33%,0
,,,,,,,Joshua Kelley,BN,8.33%,0
,,,,,,,Tyreek Hill,WR,8.33%,0
,,,,,,,Nick Chubb,RB,8.33%,0
,,,,,,,Justin Fields,QB,8.33%,0
,,,,,,,Josh Jacobs,RB,8.33%,0
,,,,,,,Kenneth Walker III,FLEX,8.33%,0
,,,,,,,Kyle Pitts,TE,8.33%,0
,,,,,,,Mike Evans,WR,8.33%,0
,,,,,,,Tua Tagovailoa,BN,8.33%,0
,,,,,,,Zach Charbonnet,BN,8.33%,0
,,,,,,,Quentin Johnston,WR,8.33%,0
,,,,,,,JuJu Smith-Schuster,BN,8.33%,0
,,,,,,,Elijah Mitchell,BN,8.33%,0
,,,,,,,Darnell Mooney,BN,8.33%,0
,,,,,,,Kareem Hunt,BN,8.33%,0
,,,,,,,Isaiah Likely,BN,8.33%,0
,,,,,,,Van Jefferson,BN,8.33%,0
,,,,,,,Mac Jones,BN,8.33%,0
,,,,,,,Tank Dell,BN,8.33%,0
,,,,,,,DeVante Parker,BN,8.33%,0
,,,,,,,Kendrick Bourne,BN,8.33%,0
,,,,,,,Travis Kelce,TE,8.33%,0
,,,,,,,Mark Andrews,FLEX,8.33%,0
,,,,,,,Jahmyr Gibbs,RB,8.33%,8
,,,,,,,Christian Watson,WR,8.33%,0
,,,,,,,Christian Kirk,WR,8.33%,0
,,,,,,,Trevor Lawrence,QB,8.33%,0
,,,,,,,Dak Prescott,BN,8.33%,0
,,,,,,,Javonte Williams,RB,8.33%,0
,,,,,,,Khalil Herbert,BN,8.33%,0
,,,,,,,Russell Wilson,BN,8.33%,0
,,,,,,,Kyler Murray,BN,8.33%,0
,,,,,,,Allen Lazard,WR,8.33%,0
,,,,,,,Adam Thielen,BN,8.33%,0
,,,,,,,Raheem Mostert,BN,8.33%,0
,,,,,,,Alec Pierce,BN,8.33%,0
,,,,,,,Hunter Renfrow,BN,8.33%,0
,,,,,,,Hayden Hurst,BN,8.33%,0
,,,,,,,Desmond Ridder,BN,8.33%,0
,,,,,,,Robert Woods,BN,8.33%,0
,,,,,,,Chris Evans,BN,8.33%,0
,,,,,,,Bijan Robinson,RB,8.33%,0
,,,,,,,Davante Adams,WR,8.33%,0
,,,,,,,Travis Etienne Jr.,RB,8.33%,0
,,,,,,,Mike Williams,WR,8.33%,0
,,,,,,,Justin Herbert,QB,8.33%,0
,,,,,,,Chris Godwin,WR,8.33%,0
,,,,,,,Brandin Cooks,BN,8.33%,0
,,,,,,,Jordan Addison,FLEX,8.33%,0
,,,,,,,Courtland Sutton,BN,8.33%,0
,,,,,,,Kirk Cousins,BN,8.33%,0
,,,,,,,Juwan Johnson,TE,8.33%,0
,,,,,,,Ezekiel Elliott,BN,8.33%,0
,,,,,,,Tyjae Spears,BN,8.33%,0
,,,,,,,Jaylen Warren,BN,8.33%,0
,,,,,,,Jake Ferguson,BN,8.33%,0
